r, offset_x, offset_y, offset_z
0.031, 0.108963, 0.0067328, 0.103346
0.03, 0.098163, 0.0045328, 0.161146
0.024, 0.075363, -0.0038672, 0.0879465
0.023, 0.065963, -0.0016672, 0.0581465
0.02, 0.084163, -0.0094672, 0.199146
0.018, 0.107763, -0.0218672, 0.0747465
0.017, 0.068963, -0.0104672, 0.116746
0.016, 0.123363, -0.0262672, 0.134346
0.016, 0.091363, -0.0230672, 0.134346
0.016, 0.068963, 0.0057328, 0.134346
0.016, 0.072163, -0.0134672, 0.137546
0.015, 0.053163, 0.0015328, 0.218146
0.014, 0.102963, -0.0306672, 0.149946
0.014, 0.102963, -0.0306672, 0.177946
0.014, 0.105763, 0.0253328, 0.0687465
