r, offset_x, offset_y, offset_z
0.031, 0.0965631, 0.0518143, 0.161306
0.031, 0.102763, 0.0518143, 0.124106
0.027, 0.0789631, 0.0430143, 0.0905061
0.026, 0.0797631, 0.0460143, 0.192306
0.025, 0.115163, 0.0386143, 0.0961061
0.019, 0.115963, 0.0254143, 0.148906
0.019, 0.115963, 0.0634143, 0.0843061
0.018, 0.107763, 0.0232143, 0.0743061
0.018, 0.0753631, 0.0376143, 0.142706
0.018, 0.122163, 0.0232143, 0.117506
0.017, 0.0995631, 0.0210143, 0.136506
0.017, 0.0995631, 0.0550143, 0.0685061
0.017, 0.0655631, 0.0346143, 0.0685061
0.017, 0.0723631, 0.0550143, 0.136506
0.017, 0.0791631, 0.0312143, 0.116106
