r, offset_x, offset_y, offset_z
0.001, -0.0137061, 0.0655353, 0.241399
0.001, 0.0186557, 0.0526839, 0.238525
0.005, 0.037953, 0.0427743, 0.211137
0.004, 0.0476528, 0.0407644, 0.23133
0.006, 0.066448, 0.031015, 0.203538
0.006, 0.0597387, 0.0306276, 0.169252
0.007, 0.0800648, 0.0232558, 0.175448
0.007, 0.0727511, 0.0231144, 0.141283
0.003, 0.0445125, 0.0325076, 0.122979
0.001, 0.0827284, 0.0262568, 0.221604
0.005, 0.102534, 0.0161867, 0.19464
0.009, 0.0970563, 0.0153013, 0.160145
0.007, 0.117169, 0.00808478, 0.167165
0.01, 0.111082, 0.00744506, 0.132767
0.008, 0.0834897, 0.0164882, 0.113336
0.009, 0.101317, 0.00856784, 0.102139
0.007, 0.0733998, 0.0177855, 0.0832607
0.003, 0.0421047, 0.0307225, 0.0918603
0.001, 0.134184, -0.00151161, 0.133198
0.005, 0.129333, -0.00264868, 0.0986164
0.01, 0.102427, 0.00603102, 0.0780873
0.002, 0.120666, -0.00198358, 0.0676468
0.009, 0.0934162, 0.00687714, 0.0476559
0.006, 0.0617963, 0.0198264, 0.0549502
0.006, 0.0662335, 0.016196, 0.0332012
0.004, 0.034768, 0.0291417, 0.0411412
0.001, 0.0195344, 0.0377194, 0.0713913
0.001, -0.0153615, 0.0567233, 0.24217
0.004, 0.0193493, 0.056376, 0.238202
0.007, 0.0400473, 0.0539228, 0.210161
0.007, 0.0504512, 0.0556607, 0.230027
0.024, 0.0706106, 0.0531736, 0.201599
0.009, 0.0634143, 0.0501938, 0.16754
0.031, 0.0852158, 0.0506757, 0.173049
0.026, 0.0773713, 0.0477084, 0.139132
0.008, 0.0470829, 0.0461905, 0.121782
0.004, 0.0880728, 0.0547059, 0.219115
0.007, 0.109316, 0.0522883, 0.191481
0.03, 0.103441, 0.0492865, 0.157171
0.009, 0.125013, 0.0498412, 0.163512
0.025, 0.118485, 0.0468498, 0.129319
0.036, 0.0888893, 0.0452315, 0.110821
0.036, 0.10801, 0.0441991, 0.099022
0.031, 0.0780671, 0.0426301, 0.0810871
0.009, 0.0445003, 0.0434751, 0.0907445
0.007, 0.143263, 0.0468191, 0.12897
0.008, 0.138061, 0.043808, 0.0945519
0.025, 0.109202, 0.0420916, 0.0749324
0.006, 0.128764, 0.0411242, 0.0638754
0.01, 0.0995363, 0.0394558, 0.0448056
0.025, 0.0656213, 0.0401876, 0.0531688
0.007, 0.0703805, 0.0382717, 0.0312699
0.008, 0.0366311, 0.0390595, 0.0402735
0.005, 0.0202918, 0.0417511, 0.0710385
0.001, -0.0137062, 0.0479113, 0.242941
0.001, 0.0186557, 0.0600682, 0.237879
0.005, 0.037953, 0.0650712, 0.209186
0.004, 0.0476529, 0.070557, 0.228723
0.006, 0.0664481, 0.0753321, 0.19966
0.006, 0.0597388, 0.0697599, 0.165828
0.007, 0.0800649, 0.0780956, 0.17065
0.007, 0.0727512, 0.0723024, 0.13698
0.003, 0.0445125, 0.0598735, 0.120585
0.001, 0.0827286, 0.0831551, 0.216626
0.005, 0.102534, 0.0883899, 0.188323
0.009, 0.0970565, 0.0832718, 0.154198
0.007, 0.117169, 0.0915978, 0.159859
0.01, 0.111083, 0.0862546, 0.125872
0.008, 0.0834899, 0.0739748, 0.108306
0.009, 0.101317, 0.0798305, 0.0959047
0.007, 0.0734, 0.0674748, 0.0789135
0.003, 0.0421047, 0.0562277, 0.0896288
0.001, 0.134184, 0.0951499, 0.124741
0.005, 0.129334, 0.0902647, 0.0904875
0.01, 0.102428, 0.0781522, 0.0717775
0.002, 0.120666, 0.0842319, 0.0601039
0.009, 0.0934163, 0.0720346, 0.0419553
0.006, 0.0617964, 0.0605488, 0.0513874
0.006, 0.0662336, 0.0603474, 0.0293385
0.004, 0.0347681, 0.0489773, 0.0394058
0.001, 0.0195345, 0.0457829, 0.0706858
