r, offset_x, offset_y, offset_z
0.001, 0.0703534, 0.154736, -0.0203375
0.003, 0.0692066, 0.161242, 0.00649075
0.001, 0.0624946, 0.156151, 0.0328047
0.005, 0.0516744, 0.140568, 0.0528919
0.001, 0.0667028, 0.163495, 0.0288777
0.002, 0.0601194, 0.158697, 0.055279
0.003, 0.0493776, 0.143348, 0.0755874
0.004, 0.0368096, 0.120781, 0.0853941
0.001, 0.0534396, 0.151746, 0.0757629
0.003, 0.0427779, 0.136634, 0.0962896
0.001, 0.0302229, 0.114195, 0.106402
0.005, 0.0185004, 0.0893006, 0.103905
0.001, 0.0333004, 0.121915, 0.110644
0.002, 0.0207605, 0.0996072, 0.12106
0.003, 0.00898299, 0.0747079, 0.11889
0.004, 0.000524785, 0.0526225, 0.104604
0.001, 0.0618793, 0.158995, -0.0202009
0.003, 0.0684728, 0.161611, 0.00650258
0.001, 0.069069, 0.152847, 0.0326987
0.004, 0.0635386, 0.134606, 0.0527007
0.001, 0.0723493, 0.160657, 0.0287867
0.003, 0.0731061, 0.152171, 0.0550697
0.005, 0.0677225, 0.13413, 0.0752917
0.005, 0.0573672, 0.110451, 0.0850628
0.002, 0.0720416, 0.142399, 0.0754632
0.004, 0.0668055, 0.12456, 0.0959024
0.005, 0.0565528, 0.100964, 0.105978
0.005, 0.0435094, 0.0767333, 0.103502
0.004, 0.0610196, 0.107986, 0.110197
0.003, 0.050871, 0.0844764, 0.120575
0.005, 0.0378649, 0.0601945, 0.118424
0.005, 0.0248247, 0.0404116, 0.104212
0.001, 0.0539688, 0.163228, -0.0171238
0.003, 0.0677877, 0.161978, 0.00676906
0.001, 0.0752061, 0.149563, 0.0303115
0.005, 0.0746137, 0.12868, 0.0483926
0.001, 0.0776203, 0.157837, 0.0267364
0.002, 0.085229, 0.145683, 0.0503541
0.005, 0.084847, 0.124966, 0.0686305
0.005, 0.0765573, 0.100181, 0.0775981
0.002, 0.0894063, 0.133106, 0.0687085
0.004, 0.0892348, 0.112557, 0.0871777
0.005, 0.0811313, 0.0878115, 0.0964169
0.005, 0.0668548, 0.0642405, 0.0944205
0.005, 0.0868949, 0.0941393, 0.100132
0.005, 0.0789787, 0.0694351, 0.109642
0.005, 0.0648257, 0.0457669, 0.107937
0.005, 0.0475083, 0.0282729, 0.0953886
0.001, 0.0474103, 0.167014, -0.0114129
0.003, 0.0672197, 0.162305, 0.00726364
0.001, 0.0802944, 0.146626, 0.0258808
0.005, 0.0837959, 0.123379, 0.040397
0.001, 0.0819903, 0.155314, 0.0229311
0.001, 0.09528, 0.139881, 0.041602
0.005, 0.0990449, 0.11677, 0.0562675
0.005, 0.0924677, 0.0909967, 0.0637438
0.003, 0.103803, 0.124795, 0.0561722
0.005, 0.107831, 0.101822, 0.0709849
0.005, 0.101509, 0.0760477, 0.0786726
0.005, 0.0862104, 0.0530669, 0.0775663
0.005, 0.108348, 0.0817549, 0.0814514
0.005, 0.102283, 0.0559822, 0.0893493
0.005, 0.0871786, 0.032863, 0.0884729
0.005, 0.0663151, 0.0174161, 0.0790123
0.001, 0.100774, 0.13264, -0.0184042
0.001, 0.100616, 0.139298, 0.00841068
0.005, 0.0923831, 0.135951, 0.034572
0.005, 0.0778631, 0.123326, 0.0544005
0.001, 0.0982475, 0.142119, 0.0307479
0.002, 0.0902056, 0.139028, 0.0569998
0.005, 0.0758114, 0.126613, 0.0770515
0.005, 0.0581898, 0.107569, 0.08655
0.001, 0.0816936, 0.133851, 0.0773287
0.004, 0.0674274, 0.121648, 0.0976008
0.005, 0.0498419, 0.102727, 0.107405
0.005, 0.0327548, 0.0811944, 0.104614
0.001, 0.0545282, 0.10954, 0.111727
0.003, 0.0369813, 0.0907439, 0.121836
0.005, 0.0198331, 0.0692206, 0.11937
0.005, 0.00680638, 0.0496428, 0.104865
0.001, 0.0935071, 0.138735, -0.0184284
0.002, 0.0999865, 0.139826, 0.00840859
0.005, 0.0980209, 0.131222, 0.0345908
0.005, 0.0880371, 0.114792, 0.0544343
0.001, 0.10309, 0.138058, 0.030764
0.002, 0.101342, 0.129687, 0.0570369
0.005, 0.0915428, 0.113417, 0.0771039
0.005, 0.0758187, 0.0927824, 0.0866086
0.001, 0.0976456, 0.12047, 0.0773817
0.001, 0.0880319, 0.104365, 0.0976693
0.005, 0.0724207, 0.0837874, 0.10748
0.005, 0.054201, 0.0632053, 0.104685
0.001, 0.0782983, 0.0896019, 0.111806
0.002, 0.0628022, 0.0690853, 0.121922
0.005, 0.0446004, 0.0484457, 0.119452
0.005, 0.0276445, 0.0321637, 0.104934
0.003, 0.0867236, 0.144683, -0.0155014
0.002, 0.099399, 0.140341, 0.00866208
0.005, 0.103284, 0.126607, 0.0323199
0.005, 0.0975344, 0.106464, 0.0503363
0.003, 0.10761, 0.134094, 0.0288136
0.001, 0.111738, 0.120571, 0.0525512
0.005, 0.106228, 0.100541, 0.0707674
0.005, 0.092275, 0.0783528, 0.0795079
0.002, 0.112536, 0.107413, 0.0709565
0.004, 0.107266, 0.0874995, 0.08937
0.005, 0.0934977, 0.0653062, 0.0983859
0.005, 0.0742205, 0.0456513, 0.0960469
0.004, 0.100487, 0.0701456, 0.102231
0.005, 0.0869056, 0.0479505, 0.111521
0.005, 0.0677203, 0.0281733, 0.109476
0.005, 0.0470965, 0.0151074, 0.0965405
0.002, 0.0810994, 0.149891, -0.00991485
0.003, 0.0989119, 0.140792, 0.00914588
0.005, 0.107647, 0.122567, 0.0279858
0.005, 0.105409, 0.0991727, 0.0425149
0.003, 0.111357, 0.130624, 0.0250912
0.001, 0.120357, 0.11259, 0.0439898
0.005, 0.118403, 0.0892669, 0.0586737
0.005, 0.105919, 0.0657187, 0.0659554
0.003, 0.124882, 0.0959811, 0.0586932
0.005, 0.123213, 0.0727329, 0.07353
0.005, 0.110972, 0.0491247, 0.0810281
0.005, 0.0908186, 0.0302815, 0.0795598
0.005, 0.118884, 0.0531103, 0.0839576
0.005, 0.106889, 0.0294455, 0.0916711
0.005, 0.0868888, 0.0104233, 0.0904362
0.005, 0.063224, 0.000173374, 0.0805209
0.001, 0.125244, 0.104137, -0.0159105
0.003, 0.126083, 0.110716, 0.0109114
0.005, 0.116775, 0.109416, 0.0368936
0.005, 0.099342, 0.10052, 0.0563958
0.001, 0.123978, 0.114059, 0.0332029
0.002, 0.114913, 0.112964, 0.0592802
0.005, 0.0976465, 0.104244, 0.0790086
0.005, 0.0759257, 0.0897926, 0.0881053
0.001, 0.10503, 0.109934, 0.0794212
0.002, 0.0879322, 0.101392, 0.099373
0.005, 0.0662685, 0.0870511, 0.108777
0.005, 0.0447424, 0.0700255, 0.105591
0.001, 0.0723098, 0.0926129, 0.113208
0.002, 0.0507064, 0.0783857, 0.122917
0.005, 0.0291163, 0.0613835, 0.120056
