a, b, c, offset_x, offset_y, offset_z
0.01, 0.01, 0.01, -0.0345591, 0.0221775, 0.236508
0.01, 0.01, 0.01, -0.0179292, 0.01373, 0.243665
0.01, 0.01, 0.01, -0.000197171, 0.00472268, 0.241773
0.01, 0.01, 0.01, 0.0149308, -0.00296185, 0.231226
0.01, 0.01, 0.01, -0.00173841, 0.00550558, 0.246124
0.01, 0.01, 0.01, 0.0159768, -0.00349318, 0.244042
0.01, 0.01, 0.01, 0.0310147, -0.011132, 0.233335
0.01, 0.01, 0.01, 0.0402324, -0.0158143, 0.21624
0.01, 0.01, 0.01, 0.0314004, -0.0113279, 0.237996
0.01, 0.01, 0.01, 0.046347, -0.0189203, 0.227129
0.01, 0.01, 0.01, 0.0554195, -0.0235289, 0.209937
0.01, 0.01, 0.01, 0.0567216, -0.0241903, 0.190012
0.01, 0.01, 0.01, 0.0576482, -0.024661, 0.213895
0.01, 0.01, 0.01, 0.0665747, -0.0291954, 0.196606
0.01, 0.01, 0.01, 0.067708, -0.0297711, 0.176668
0.01, 0.01, 0.01, 0.0608114, -0.0262678, 0.158248
0.01, 0.01, 0.01, 0.0184058, -0.00472706, 0.245358
0.01, 0.01, 0.01, 0.0361534, -0.0137423, 0.243659
0.01, 0.01, 0.01, 0.0513723, -0.021473, 0.233279
0.01, 0.01, 0.01, 0.0608817, -0.0263035, 0.216385
0.01, 0.01, 0.01, 0.051678, -0.0216283, 0.237948
0.01, 0.01, 0.01, 0.0668083, -0.029314, 0.227405
0.01, 0.01, 0.01, 0.0761741, -0.0340716, 0.210412
0.01, 0.01, 0.01, 0.077818, -0.0349066, 0.190518
0.01, 0.01, 0.01, 0.0783345, -0.035169, 0.214417
0.01, 0.01, 0.01, 0.087556, -0.0398533, 0.197325
0.01, 0.01, 0.01, 0.0890314, -0.0406027, 0.177415
0.01, 0.01, 0.01, 0.0824521, -0.0372606, 0.158849
0.01, 0.01, 0.01, 0.0925766, -0.0424035, 0.179886
0.01, 0.01, 0.01, 0.0938832, -0.0430673, 0.159961
0.01, 0.01, 0.01, 0.087147, -0.0396455, 0.141466
0.01, 0.01, 0.01, 0.073776, -0.0328534, 0.128267
0.01, 0.01, 0.01, 0.0695057, -0.0306842, 0.2274
0.01, 0.01, 0.01, 0.0848141, -0.0384604, 0.217187
0.01, 0.01, 0.01, 0.0944699, -0.0433653, 0.200398
0.01, 0.01, 0.01, 0.0964548, -0.0443736, 0.180544
0.01, 0.01, 0.01, 0.0965612, -0.0444276, 0.20445
0.01, 0.01, 0.01, 0.106074, -0.04926, 0.187559
0.01, 0.01, 0.01, 0.107891, -0.0501828, 0.167685
0.01, 0.01, 0.01, 0.101632, -0.0470032, 0.148981
0.01, 0.01, 0.01, 0.111393, -0.0519618, 0.170232
0.01, 0.01, 0.01, 0.113042, -0.0527991, 0.15034
0.01, 0.01, 0.01, 0.106624, -0.0495392, 0.131703
0.01, 0.01, 0.01, 0.0934819, -0.0428634, 0.118217
0.01, 0.01, 0.01, 0.110775, -0.0516479, 0.132191
0.01, 0.01, 0.01, 0.1042, -0.0483079, 0.113624
0.01, 0.01, 0.01, 0.0909444, -0.0415744, 0.100279
0.01, 0.01, 0.01, 0.0737787, -0.0328548, 0.0949459
0.01, 0.01, 0.01, 0.1085, -0.0504919, 0.186235
0.01, 0.01, 0.01, 0.118301, -0.0554706, 0.169553
0.01, 0.01, 0.01, 0.120458, -0.0565666, 0.149722
0.01, 0.01, 0.01, 0.114521, -0.0535506, 0.130886
0.01, 0.01, 0.01, 0.123916, -0.058323, 0.152344
0.01, 0.01, 0.01, 0.125905, -0.0593336, 0.132491
0.01, 0.01, 0.01, 0.119809, -0.0562367, 0.113719
0.01, 0.01, 0.01, 0.106901, -0.0496798, 0.099952
0.01, 0.01, 0.01, 0.123951, -0.0583408, 0.114297
0.01, 0.01, 0.01, 0.117696, -0.0551633, 0.0955906
0.01, 0.01, 0.01, 0.104672, -0.0485474, 0.0819621
0.01, 0.01, 0.01, 0.0876005, -0.0398759, 0.0762594
0.01, 0.01, 0.01, 0.108597, -0.0505413, 0.08037
0.01, 0.01, 0.01, 0.0954577, -0.0438671, 0.0668808
0.01, 0.01, 0.01, 0.0783391, -0.0351714, 0.0613603
0.01, 0.01, 0.01, 0.0608189, -0.0262716, 0.0649622
0.01, 0.01, 0.01, -0.038523, 0.0114022, 0.236508
0.01, 0.01, 0.01, -0.0203832, 0.00705906, 0.243665
0.01, 0.01, 0.01, -0.00104127, 0.00242809, 0.241773
0.01, 0.01, 0.01, 0.0154602, -0.00152279, 0.231226
0.01, 0.01, 0.01, -0.00272245, 0.00283061, 0.246124
0.01, 0.01, 0.01, 0.0166011, -0.00179596, 0.244042
0.01, 0.01, 0.01, 0.0330044, -0.00572334, 0.233335
0.01, 0.01, 0.01, 0.0430589, -0.00813066, 0.21624
0.01, 0.01, 0.01, 0.0334251, -0.00582407, 0.237996
0.01, 0.01, 0.014, 0.0497287, -0.00972759, 0.227129
0.018, 0.01, 0.013, 0.0596249, -0.012097, 0.209937
0.01, 0.01, 0.01, 0.0610453, -0.0124371, 0.190012
0.02, 0.01, 0.02, 0.062056, -0.0126791, 0.213895
0.026, 0.01, 0.01, 0.0717929, -0.0150103, 0.196606
0.016, 0.015, 0.023, 0.0730292, -0.0153063, 0.176668
0.01, 0.01, 0.01, 0.0655064, -0.0135052, 0.158248
0.01, 0.01, 0.01, 0.0192507, -0.00243034, 0.245358
0.01, 0.01, 0.01, 0.0386096, -0.00706538, 0.243659
0.01, 0.01, 0.01, 0.0552103, -0.01104, 0.233279
0.023, 0.01, 0.012, 0.065583, -0.0135235, 0.216385
0.01, 0.01, 0.01, 0.0555437, -0.0111198, 0.237948
0.01, 0.01, 0.01, 0.0720477, -0.0150713, 0.227405
0.015, 0.016, 0.01, 0.0822639, -0.0175174, 0.210412
0.032, 0.011, 0.017, 0.084057, -0.0179467, 0.190518
0.01, 0.01, 0.01, 0.0846205, -0.0180816, 0.214417
0.016, 0.016, 0.01, 0.0946792, -0.0204899, 0.197325
0.029, 0.018, 0.013, 0.0962884, -0.0208752, 0.177415
