r, offset_x, offset_y, offset_z
0.001, -0.0137062, 0.00884574, 0.244985
0.001, 0.0186557, -0.00370632, 0.241002
0.005, 0.0379529, -0.0111911, 0.212854
0.004, 0.0476527, -0.0149533, 0.232795
0.006, 0.0664479, -0.0222433, 0.204259
0.006, 0.0597387, -0.019641, 0.170069
0.007, 0.0800648, -0.0275248, 0.175599
0.007, 0.0727511, -0.0246881, 0.141553
0.003, 0.0445125, -0.0137353, 0.124136
0.001, 0.0827284, -0.028558, 0.221841
0.005, 0.102534, -0.0362398, 0.194102
0.009, 0.0970563, -0.0341153, 0.159661
0.007, 0.117169, -0.0419163, 0.166026
0.01, 0.111082, -0.0395555, 0.131703
0.008, 0.0834897, -0.0288533, 0.113134
0.009, 0.101317, -0.0357677, 0.10129
0.007, 0.0733999, -0.0249397, 0.0832864
0.003, 0.0421047, -0.0128014, 0.0929807
0.001, 0.134184, -0.0485157, 0.131352
0.005, 0.129333, -0.0466345, 0.0968026
0.01, 0.102427, -0.0361986, 0.0771082
0.002, 0.120666, -0.0432727, 0.0660089
0.009, 0.0934162, -0.0327034, 0.0468663
0.006, 0.0617963, -0.0204391, 0.0552614
0.006, 0.0662335, -0.0221601, 0.0332788
0.004, 0.034768, -0.00995576, 0.0423168
0.001, 0.0195345, -0.00404717, 0.0731994
0.001, -0.0153616, 6.4911e-08, 0.244985
0.004, 0.0193493, -2.71974e-08, 0.241002
0.007, 0.0400472, -8.21213e-08, 0.212854
0.007, 0.0504511, -1.09729e-07, 0.232795
0.024, 0.0706106, -1.63224e-07, 0.204259
0.009, 0.0634143, -1.44128e-07, 0.170069
0.031, 0.0852158, -2.0198e-07, 0.175599
0.026, 0.0773713, -1.81164e-07, 0.141553
0.008, 0.0470829, -1.00791e-07, 0.124136
0.004, 0.0880728, -2.09561e-07, 0.221841
0.007, 0.109316, -2.65931e-07, 0.194102
0.03, 0.103441, -2.50341e-07, 0.159661
0.009, 0.125013, -3.07586e-07, 0.166026
0.025, 0.118485, -2.90263e-07, 0.131703
0.036, 0.0888893, -2.11728e-07, 0.113134
0.036, 0.10801, -2.62467e-07, 0.10129
0.031, 0.0780671, -1.8301e-07, 0.0832864
0.009, 0.0445004, -9.3938e-08, 0.0929807
0.007, 0.143263, -3.56013e-07, 0.131352
0.008, 0.138061, -3.42209e-07, 0.0968026
0.025, 0.109202, -2.65629e-07, 0.0771082
0.006, 0.128764, -3.1754e-07, 0.0660089
0.01, 0.0995363, -2.39981e-07, 0.0468663
0.025, 0.0656213, -1.49984e-07, 0.0552614
0.007, 0.0703806, -1.62613e-07, 0.0332788
0.008, 0.0366312, -7.30564e-08, 0.0423168
0.005, 0.0202918, -2.96986e-08, 0.0731994
0.001, -0.0137062, -0.00884562, 0.244985
0.001, 0.0186557, 0.00370627, 0.241002
0.005, 0.037953, 0.0111909, 0.212854
0.004, 0.0476528, 0.0149531, 0.232795
0.006, 0.0664481, 0.022243, 0.204259
0.006, 0.0597388, 0.0196408, 0.170069
0.007, 0.0800649, 0.0275245, 0.175599
0.007, 0.0727512, 0.0246878, 0.141553
0.003, 0.0445125, 0.0137351, 0.124136
0.001, 0.0827285, 0.0285576, 0.221841
0.005, 0.102534, 0.0362393, 0.194102
0.009, 0.0970565, 0.0341148, 0.159661
0.007, 0.117169, 0.0419157, 0.166026
0.01, 0.111083, 0.039555, 0.131703
0.008, 0.0834899, 0.0288529, 0.113134
0.009, 0.101317, 0.0357672, 0.10129
0.007, 0.0734, 0.0249394, 0.0832864
0.003, 0.0421048, 0.0128012, 0.0929807
0.001, 0.134184, 0.048515, 0.131352
0.005, 0.129334, 0.0466338, 0.0968026
0.01, 0.102428, 0.0361981, 0.0771082
0.002, 0.120666, 0.0432721, 0.0660089
0.009, 0.0934163, 0.0327029, 0.0468663
0.006, 0.0617964, 0.0204388, 0.0552614
0.006, 0.0662336, 0.0221598, 0.0332788
0.004, 0.0347681, 0.00995562, 0.0423168
0.001, 0.0195345, 0.00404712, 0.0731994
