a, b, c, offset_x, offset_y, offset_z
0.01, 0.01, 0.01, -0.0345591, -0.0338914, 0.235659
0.01, 0.01, 0.01, -0.0179292, -0.0429305, 0.242053
0.01, 0.01, 0.01, -0.000197201, -0.0517386, 0.239382
0.01, 0.01, 0.01, 0.0149307, -0.0584747, 0.228206
0.01, 0.01, 0.01, -0.00173844, -0.0513379, 0.243784
0.01, 0.01, 0.01, 0.0159767, -0.060121, 0.240927
0.01, 0.01, 0.01, 0.0310147, -0.0667975, 0.229594
0.01, 0.01, 0.01, 0.0402323, -0.069972, 0.212156
0.01, 0.01, 0.01, 0.0314004, -0.067399, 0.234221
0.01, 0.01, 0.01, 0.046347, -0.0740154, 0.222734
0.01, 0.01, 0.01, 0.0554194, -0.0771079, 0.205205
0.01, 0.01, 0.01, 0.0567216, -0.0760303, 0.185298
0.01, 0.01, 0.01, 0.0576482, -0.0785808, 0.209049
0.01, 0.01, 0.01, 0.0665747, -0.0815911, 0.191431
0.01, 0.01, 0.01, 0.067708, -0.0804269, 0.171519
0.01, 0.01, 0.01, 0.0608114, -0.0753315, 0.153474
0.01, 0.01, 0.01, 0.0184058, -0.0614648, 0.24213
0.01, 0.01, 0.01, 0.0361534, -0.0702977, 0.239652
0.01, 0.01, 0.01, 0.0513723, -0.0770943, 0.228637
0.01, 0.01, 0.01, 0.0608816, -0.080434, 0.211387
0.01, 0.01, 0.01, 0.0516779, -0.0776559, 0.233275
0.01, 0.01, 0.01, 0.0668082, -0.0843936, 0.222103
0.01, 0.01, 0.01, 0.0761741, -0.0876519, 0.204759
0.01, 0.01, 0.01, 0.077818, -0.08675, 0.184869
0.01, 0.01, 0.01, 0.0783345, -0.0890943, 0.208654
0.01, 0.01, 0.01, 0.087556, -0.092271, 0.191218
0.01, 0.01, 0.01, 0.0890313, -0.0912823, 0.171319
0.01, 0.01, 0.01, 0.0824521, -0.0863349, 0.153115
0.01, 0.01, 0.01, 0.0925766, -0.0932917, 0.173623
0.01, 0.01, 0.01, 0.0938832, -0.0922163, 0.153717
0.01, 0.01, 0.01, 0.087147, -0.0871957, 0.13559
0.01, 0.01, 0.01, 0.073776, -0.079279, 0.123033
0.01, 0.01, 0.01, 0.0695057, -0.0857581, 0.221978
0.01, 0.01, 0.01, 0.0848141, -0.0926146, 0.211126
0.01, 0.01, 0.01, 0.0944699, -0.0960375, 0.193974
0.01, 0.01, 0.01, 0.0964548, -0.0953116, 0.174108
0.01, 0.01, 0.01, 0.0965612, -0.0974489, 0.197917
0.01, 0.01, 0.01, 0.106074, -0.100791, 0.18067
0.01, 0.01, 0.01, 0.107891, -0.099978, 0.160791
0.01, 0.01, 0.01, 0.101632, -0.0951803, 0.142435
0.01, 0.01, 0.01, 0.111393, -0.101972, 0.163173
0.01, 0.01, 0.01, 0.113041, -0.101073, 0.143283
0.01, 0.01, 0.01, 0.106624, -0.0962008, 0.125002
0.01, 0.01, 0.01, 0.0934819, -0.0883751, 0.112149
0.01, 0.01, 0.01, 0.110775, -0.098344, 0.125304
0.01, 0.01, 0.01, 0.1042, -0.0933985, 0.107099
0.01, 0.01, 0.01, 0.0909444, -0.0855275, 0.0943916
0.01, 0.01, 0.01, 0.0737787, -0.0763763, 0.0898388
0.01, 0.01, 0.01, 0.1085, -0.101903, 0.179243
0.01, 0.01, 0.01, 0.118301, -0.105408, 0.162191
0.01, 0.01, 0.01, 0.120458, -0.104772, 0.14234
0.01, 0.01, 0.01, 0.114521, -0.100126, 0.123838
0.01, 0.01, 0.01, 0.123916, -0.10675, 0.144799
0.01, 0.01, 0.01, 0.125905, -0.106027, 0.124933
0.01, 0.01, 0.01, 0.119809, -0.101305, 0.106502
0.01, 0.01, 0.01, 0.106901, -0.0935735, 0.0933595
0.01, 0.01, 0.01, 0.123951, -0.103452, 0.106895
0.01, 0.01, 0.01, 0.117696, -0.0986561, 0.0885368
0.01, 0.01, 0.01, 0.104672, -0.0908776, 0.0755367
0.01, 0.01, 0.01, 0.0876005, -0.081742, 0.0706115
0.01, 0.01, 0.01, 0.108597, -0.0927251, 0.0737769
0.01, 0.01, 0.01, 0.0954577, -0.0849006, 0.0609207
0.01, 0.01, 0.01, 0.0783391, -0.0757568, 0.0561791
0.01, 0.01, 0.01, 0.0608189, -0.0672049, 0.060543
0.01, 0.01, 0.01, -0.038523, -0.0446257, 0.23472
0.01, 0.01, 0.01, -0.0203832, -0.0495761, 0.241471
0.01, 0.01, 0.01, -0.0010413, -0.0540244, 0.239182
0.01, 0.01, 0.01, 0.0154601, -0.0570411, 0.228331
0.01, 0.01, 0.01, -0.00272248, -0.0540027, 0.243551
0.01, 0.01, 0.01, 0.0166011, -0.0584302, 0.241075
0.01, 0.01, 0.01, 0.0330043, -0.0614094, 0.230066
0.01, 0.01, 0.01, 0.0430589, -0.0623177, 0.212826
0.01, 0.01, 0.01, 0.0334251, -0.0619161, 0.234701
0.01, 0.01, 0.013, 0.0497287, -0.0648576, 0.223535
0.018, 0.01, 0.013, 0.0596248, -0.0657196, 0.206201
0.01, 0.01, 0.01, 0.0610452, -0.0643218, 0.186322
0.02, 0.01, 0.02, 0.062056, -0.0666444, 0.210094
0.026, 0.01, 0.01, 0.0717929, -0.06746, 0.192668
0.016, 0.015, 0.023, 0.0730291, -0.0660172, 0.17278
0.01, 0.01, 0.01, 0.0655064, -0.0626175, 0.154587
0.01, 0.01, 0.01, 0.0192507, -0.0591768, 0.24233
0.01, 0.01, 0.01, 0.0386096, -0.0636462, 0.240234
0.01, 0.01, 0.01, 0.0552102, -0.066701, 0.229546
0.023, 0.01, 0.012, 0.065583, -0.0677027, 0.212501
0.01, 0.01, 0.01, 0.0555436, -0.0671874, 0.234191
