a, b, c, offset_x, offset_y, offset_z
0.004, 0.004, 0, 0.110666, 0.130593, 0.0317684
0.004, 0.004, 0, 0.106067, 0.121443, 0.0547162
0.012, 0.012, 0, 0.0947935, 0.106631, 0.0715978
0.004, 0.004, 0, 0.104648, 0.116246, 0.0740693
0.004, 0.004, 0, 0.0935952, 0.101603, 0.0912417
0.012, 0.012, 0, 0.0777989, 0.0838453, 0.0994033
0.004, 0.004, 0, 0.0866639, 0.0914324, 0.107119
0.004, 0.004, 0, 0.0709981, 0.0737355, 0.115656
0.014, 0.014, 0.014, 0.0533095, 0.0559897, 0.113738
0.004, 0.004, 0.014, 0.113775, 0.127512, 0.030672
0.004, 0.004, 0.014, 0.11262, 0.114951, 0.0524054
0.012, 0.012, 0.014, 0.10377, 0.0977377, 0.0684326
0.004, 0.004, 0.014, 0.11414, 0.106843, 0.0707224
0.005, 0.005, 0.014, 0.105558, 0.0897519, 0.0870236
0.014, 0.014, 0.014, 0.0907891, 0.0709761, 0.0948228
0.014, 0.004, 0.004, 0.100957, 0.0772724, 0.102079
0.014, 0.004, 0.004, 0.0863778, 0.0584991, 0.110233
0.018, 0.018, 0.018, 0.0681497, 0.0412879, 0.108505
0.004, 0.004, 0.018, 0.116591, 0.124632, 0.028638
0.005, 0.005, 0.005, 0.118554, 0.10888, 0.048119
0.014, 0.014, 0.005, 0.111898, 0.0894224, 0.062561
0.004, 0.004, 0.005, 0.122735, 0.0980502, 0.0645139
0.007, 0.007, 0.007, 0.11639, 0.0786705, 0.0791988
0.017, 0.017, 0.007, 0.102551, 0.058943, 0.086326
0.017, 0.004, 0.004, 0.113899, 0.0640324, 0.0927297
0.011, 0.011, 0.011, 0.100304, 0.0442525, 0.100173
0.023, 0.023, 0.023, 0.0815869, 0.0275412, 0.098798
0.004, 0.004, 0.023, 0.122371, 0.116688, 0.032985
0.004, 0.004, 0.023, 0.116569, 0.108114, 0.0558823
0.012, 0.012, 0.023, 0.103568, 0.0946451, 0.0726465
0.004, 0.004, 0.023, 0.114399, 0.103115, 0.0752181
0.004, 0.004, 0.023, 0.101633, 0.0897908, 0.0922752
0.012, 0.012, 0.012, 0.0838951, 0.073889, 0.100274
0.004, 0.004, 0.012, 0.0934683, 0.0804555, 0.108079
0.004, 0.004, 0.004, 0.0758636, 0.0646001, 0.116455
0.013, 0.013, 0.013, 0.0563442, 0.0489136, 0.114357
0.004, 0.004, 0.013, 0.125132, 0.113283, 0.031917
0.004, 0.004, 0.004, 0.122388, 0.100937, 0.0536315
0.013, 0.013, 0.004, 0.111539, 0.084814, 0.0695633
0.004, 0.004, 0.004, 0.122827, 0.0927203, 0.071958
0.005, 0.005, 0.004, 0.112255, 0.0766896, 0.0881664
0.015, 0.015, 0.015, 0.0954295, 0.0596625, 0.0958127
0.004, 0.004, 0.015, 0.10616, 0.0648022, 0.10317
0.008, 0.008, 0.008, 0.0895197, 0.0477566, 0.111172
0.018, 0.018, 0.018, 0.0695212, 0.0326611, 0.10926
0.004, 0.004, 0.018, 0.127633, 0.110108, 0.0299087
0.005, 0.005, 0.018, 0.127657, 0.0942464, 0.0493993
0.014, 0.014, 0.018, 0.118756, 0.0756494, 0.063766
0.004, 0.004, 0.018, 0.130459, 0.0830298, 0.065828
0.006, 0.006, 0.018, 0.121873, 0.0644764, 0.0804406
0.018, 0.018, 0.018, 0.105873, 0.0464003, 0.0874234
0.018, 0.004, 0.004, 0.117651, 0.0502099, 0.0939391
0.018, 0.007, 0.007, 0.101885, 0.0320549, 0.10124
0.022, 0.022, 0.022, 0.0814525, 0.0175103, 0.0996756
0.004, 0.004, 0.022, 0.132459, 0.101577, 0.0343071
0.004, 0.004, 0.022, 0.125525, 0.0937076, 0.0571428
0.012, 0.012, 0.022, 0.110956, 0.0817648, 0.0737734
0.004, 0.004, 0.022, 0.12263, 0.0889896, 0.076454
0.004, 0.004, 0.004, 0.108307, 0.0771643, 0.0933799
0.012, 0.012, 0.004, 0.0888466, 0.0633212, 0.101199
0.004, 0.004, 0.004, 0.0990102, 0.0687954, 0.109099
0.004, 0.004, 0.004, 0.0796833, 0.054984, 0.117296
0.013, 0.013, 0.013, 0.0585733, 0.0415461, 0.115001
0.004, 0.004, 0.013, 0.134837, 0.0978872, 0.0332639
0.004, 0.004, 0.013, 0.130538, 0.0859312, 0.0549444
0.013, 0.013, 0.013, 0.117822, 0.0711126, 0.070762
0.004, 0.004, 0.013, 0.129891, 0.0777262, 0.0732699
0.005, 0.005, 0.013, 0.117458, 0.0629687, 0.0893669
0.014, 0.014, 0.013, 0.0987832, 0.0479064, 0.0968412
0.004, 0.004, 0.013, 0.109943, 0.0518345, 0.104304
0.006, 0.006, 0.006, 0.0914477, 0.0367336, 0.112137
0.016, 0.016, 0.016, 0.0699249, 0.0239361, 0.110023
0.004, 0.004, 0.016, 0.136991, 0.0944549, 0.0312782
0.004, 0.004, 0.016, 0.135077, 0.0786979, 0.0507597
0.014, 0.014, 0.016, 0.12404, 0.0612045, 0.0650298
0.004, 0.004, 0.016, 0.136465, 0.0672495, 0.0672087
0.007, 0.007, 0.007, 0.125743, 0.0497647, 0.0817278
0.018, 0.018, 0.018, 0.10778, 0.0335682, 0.0885461
0.018, 0.004, 0.004, 0.119843, 0.0360583, 0.0951772
0.018, 0.005, 0.007, 0.1021, 0.019758, 0.102316
0.02, 0.02, 0.02, 0.0802034, 0.00755611, 0.100547
