r, offset_x, offset_y, offset_z
0.004, 0.0833684, 0.152277, -0.0036675
0.003, 0.0809763, 0.15164, 0.0290337
0.007, 0.0697345, 0.136337, 0.0557722
0.005, 0.0530812, 0.111049, 0.0683701
0.001, 0.0783765, 0.150074, 0.0555698
0.003, 0.0673508, 0.135144, 0.0826074
0.015, 0.0507858, 0.110044, 0.0956874
0.004, 0.033748, 0.08245, 0.0908094
0.004, 0.0578681, 0.122114, 0.103907
0.003, 0.0413958, 0.0972079, 0.117466
0.014, 0.0242959, 0.0695658, 0.113107
0.007, 0.0117984, 0.0476419, 0.0921626
0.004, 0.0277714, 0.076481, 0.127373
0.003, 0.0106139, 0.0487975, 0.123533
0.005, -0.0020781, 0.0266033, 0.102995
0.005, -0.00642285, 0.0166865, 0.0720387
0.004, 0.0793893, 0.154851, -0.00306726
0.004, 0.0865909, 0.148008, 0.0281868
0.009, 0.0828135, 0.127878, 0.0537993
0.003, 0.0692123, 0.100617, 0.0659368
0.003, 0.0917491, 0.141425, 0.0535526
0.004, 0.0882853, 0.121605, 0.0794495
0.015, 0.074919, 0.0944358, 0.0920471
0.004, 0.0557381, 0.0682281, 0.0874923
0.003, 0.0847272, 0.104743, 0.0998557
0.005, 0.0715991, 0.0776741, 0.11291
0.019, 0.0525074, 0.0513201, 0.108851
0.008, 0.0332912, 0.0337415, 0.0889205
0.004, 0.0603532, 0.0554089, 0.122458
0.01, 0.0413556, 0.0289154, 0.118896
0.02, 0.0220571, 0.010994, 0.0993541
0.007, 0.00836008, 0.00712571, 0.0698088
0.003, 0.0759019, 0.157254, -0.000857598
0.003, 0.0915115, 0.144618, 0.025069
0.011, 0.0942758, 0.119981, 0.0465364
0.005, 0.0833494, 0.0908765, 0.0569792
0.001, 0.103469, 0.13335, 0.0461266
0.005, 0.106632, 0.108964, 0.0678244
0.019, 0.0960691, 0.0798637, 0.0786458
0.005, 0.0750101, 0.05495, 0.075281
0.005, 0.108266, 0.0885251, 0.0849406
0.013, 0.0980692, 0.0594366, 0.0961378
0.023, 0.0772318, 0.0342854, 0.0931851
0.008, 0.0521274, 0.0207637, 0.0769854
0.014, 0.0889077, 0.0357353, 0.104365
0.024, 0.0682974, 0.0103529, 0.101825
0.026, 0.0432091, -0.00357938, 0.0859517
0.009, 0.0213158, -0.00180055, 0.0615998
0.004, 0.0733438, 0.159184, 0.00268439
0.003, 0.095121, 0.141894, 0.0200712
0.008, 0.102684, 0.113635, 0.0348944
0.005, 0.0937198, 0.0830501, 0.0426204
0.004, 0.112066, 0.126862, 0.0342232
0.007, 0.120091, 0.0988068, 0.0491899
0.021, 0.111584, 0.0681548, 0.0571641
0.008, 0.0891472, 0.0442809, 0.0557069
0.01, 0.125534, 0.0754936, 0.0610325
0.021, 0.117486, 0.0447827, 0.0692529
0.019, 0.0953686, 0.0205978, 0.0680731
0.009, 0.0659448, 0.0103359, 0.057854
0.026, 0.109854, 0.0199273, 0.075363
0.022, 0.0880608, -0.00456224, 0.0744609
0.012, 0.0587252, -0.0152892, 0.0644682
0.005, 0.0308195, -0.00897289, 0.048441
0.001, 0.113768, 0.125939, -0.00136316
0.004, 0.110603, 0.125981, 0.0312786
0.014, 0.0954439, 0.113908, 0.0577345
0.007, 0.0729256, 0.0934114, 0.0699133
0.002, 0.107144, 0.125156, 0.0577498
0.003, 0.0922776, 0.113394, 0.0845104
0.014, 0.0698801, 0.093059, 0.0971734
0.005, 0.0468013, 0.0703719, 0.0918661
0.001, 0.0794875, 0.103088, 0.105572
0.003, 0.0572165, 0.0829205, 0.118716
0.014, 0.0340549, 0.0602028, 0.113926
0.007, 0.0170868, 0.0418829, 0.0926665
0.001, 0.0387929, 0.0661134, 0.12828
0.004, 0.0155545, 0.0433707, 0.124008
0.004, -0.00167605, 0.0248364, 0.103149
0.006, -0.0076289, 0.0161791, 0.0720831
0.002, 0.110514, 0.129398, -0.000840318
0.002, 0.115194, 0.121102, 0.0305409
0.015, 0.106138, 0.102541, 0.056016
0.009, 0.0861147, 0.0793926, 0.0677938
0.001, 0.118078, 0.113535, 0.0559927
0.004, 0.109394, 0.0952001, 0.0817597
