# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 66775
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 66775
DATA ascii
-0.058746547 -0.20023485 0.49176672
-0.057606906 -0.19965757 0.49217126
-0.056467295 -0.19908027 0.49257579
-0.055327654 -0.19850297 0.49298033
-0.053648263 -0.19745238 0.49249822
-0.052510858 -0.19687624 0.49290198
-0.051373452 -0.19630007 0.49330574
-0.049702942 -0.19525398 0.49282041
-0.048567742 -0.19467898 0.4932234
-0.046903878 -0.19363625 0.49273574
-0.045770884 -0.19306232 0.49313793
-0.044637889 -0.19248842 0.49354014
-0.043504924 -0.19191451 0.49394232
-0.042371929 -0.19134058 0.4943445
-0.041238964 -0.19076668 0.49474669
-0.040105969 -0.19019274 0.49514887
-0.038459867 -0.18915905 0.49465489
-0.037329108 -0.18858625 0.4950563
-0.035689592 -0.18755586 0.49455994
-0.034561038 -0.1869842 0.49496055
-0.033432484 -0.18641253 0.49536115
-0.031801909 -0.18538664 0.49486169
-0.03067556 -0.18481608 0.49526152
-0.029051602 -0.18379362 0.49475971
-0.027927488 -0.1832242 0.49515873
-0.026310205 -0.18220507 0.49465457
-0.025188297 -0.18163677 0.49505281
-0.024066418 -0.18106847 0.49545106
-0.022457942 -0.18005383 0.49494368
-0.021338269 -0.17948663 0.49534112
-0.020218596 -0.17891946 0.4957386
-0.018619031 -0.17790934 0.49522811
-0.017501563 -0.17734328 0.49562481
-0.01638411 -0.17677723 0.49602148
-0.014793426 -0.17577156 0.49550784
-0.013678193 -0.17520663 0.49590373
-0.01209414 -0.17420438 0.49538773
-0.010981098 -0.17364056 0.49578285
-0.0094037056 -0.17264165 0.49526447
-0.0082928985 -0.17207897 0.49565879
-0.0067221522 -0.17108341 0.49513802
-0.0051558316 -0.17009011 0.49461576
-0.0040494502 -0.16952968 0.4950085
-0.0029430836 -0.16896924 0.49540123
-0.001385659 -0.16798045 0.49487579
0.00016736984 -0.16699387 0.49434876
0.0012693107 -0.16643569 0.49473992
0.0023712516 -0.16587749 0.49513111
0.0039153993 -0.16489542 0.49460092
0.005015105 -0.16433835 0.4949913
0.006552577 -0.16335967 0.49445879
0.0076500773 -0.16280372 0.4948484
0.0087475926 -0.16224778 0.49523798
