r, offset_x, offset_y, offset_z
0.001, -0.0137062, 0.00884574, 0.244985
0.003, 0.00834981, 0.000290974, 0.245525
0.004, 0.0274348, -0.00711146, 0.233654
0.005, 0.0379529, -0.0111911, 0.212854
0.002, 0.0285502, -0.00754406, 0.243039
0.004, 0.0474935, -0.0148915, 0.23091
0.005, 0.0577651, -0.0188755, 0.209968
0.005, 0.0563533, -0.018328, 0.186354
0.006, 0.0633646, -0.0210474, 0.217278
0.007, 0.0733881, -0.0249352, 0.196199
0.007, 0.0716976, -0.0242795, 0.172605
0.006, 0.0587886, -0.0192725, 0.153416
0.007, 0.0800648, -0.0275248, 0.175599
0.007, 0.0780957, -0.0267611, 0.152031
0.006, 0.0649612, -0.0216667, 0.133018
0.003, 0.0445125, -0.0137353, 0.124136
0.001, 0.0529229, -0.0169974, 0.238802
0.002, 0.0721502, -0.024455, 0.227199
0.008, 0.0829195, -0.0286321, 0.206547
0.008, 0.0820732, -0.0283038, 0.182901
0.002, 0.0883423, -0.0307354, 0.214008
0.009, 0.0988669, -0.0348175, 0.193212
0.009, 0.0977414, -0.034381, 0.169579
0.008, 0.0852958, -0.0295538, 0.150041
0.011, 0.106034, -0.0375975, 0.172803
0.01, 0.10463, -0.0370527, 0.149188
0.009, 0.0919545, -0.0321364, 0.12982
0.006, 0.0717249, -0.0242901, 0.120378
0.009, 0.100575, -0.0354801, 0.127817
0.009, 0.0876721, -0.0304755, 0.108623
0.006, 0.0673327, -0.0225865, 0.0994569
0.004, 0.0455206, -0.0141263, 0.103006
0.001, 0.10729, -0.0380847, 0.197029
0.002, 0.118309, -0.0423584, 0.176528
0.011, 0.117749, -0.0421414, 0.152873
0.01, 0.105775, -0.0374971, 0.132998
0.003, 0.125962, -0.0453269, 0.156323
0.01, 0.125123, -0.0450015, 0.132677
0.011, 0.112916, -0.0402666, 0.112967
0.009, 0.0929186, -0.0325104, 0.102972
0.012, 0.121581, -0.0436277, 0.111202
0.011, 0.109142, -0.0388028, 0.0916594
0.008, 0.0890284, -0.0310015, 0.0819365
0.006, 0.0671386, -0.0225112, 0.0848845
0.009, 0.0954904, -0.0335079, 0.075497
0.007, 0.0752638, -0.0256627, 0.0660482
0.006, 0.0534105, -0.0171866, 0.0692933
0.004, 0.0363382, -0.0105648, 0.084281
0.001, 0.134184, -0.0485157, 0.131352
0.003, 0.133911, -0.0484099, 0.10769
0.011, 0.122179, -0.0438594, 0.0876506
0.01, 0.102427, -0.0361986, 0.0771082
0.002, 0.130884, -0.0472358, 0.0861248
0.004, 0.118916, -0.0425939, 0.0662459
0.009, 0.0990419, -0.0348854, 0.0559727
0.007, 0.0770887, -0.0263705, 0.0583171
0.004, 0.105656, -0.0374507, 0.0497131
0.006, 0.085662, -0.0296958, 0.0397106
0.006, 0.0637382, -0.0211923, 0.0423532
0.004, 0.0463129, -0.0144336, 0.0568659
0.006, 0.0662335, -0.0221601, 0.0332788
0.004, 0.0443427, -0.0136695, 0.036219
0.004, 0.0270902, -0.00697778, 0.0509673
0.001, 0.0195345, -0.00404717, 0.0731994
0.001, -0.0151758, 0.00300935, 0.244985
0.003, 0.00830147, 9.89902e-05, 0.245525
0.007, 0.0286163, -0.00241934, 0.233654
0.006, 0.0398122, -0.00380724, 0.212854
0.002, 0.0298035, -0.00256651, 0.243039
0.009, 0.0499675, -0.00506614, 0.23091
0.017, 0.060901, -0.00642152, 0.209968
0.01, 0.0593982, -0.00623523, 0.186354
0.015, 0.0668613, -0.0071604, 0.217278
0.023, 0.0775307, -0.00848303, 0.196199
0.022, 0.0757312, -0.00825995, 0.172605
0.008, 0.0619905, -0.00655658, 0.153416
0.025, 0.0846376, -0.00936403, 0.175599
0.025, 0.0825417, -0.00910421, 0.152031
0.02, 0.0685608, -0.00737107, 0.133018
0.008, 0.0467944, -0.00467279, 0.124136
0.001, 0.0557468, -0.00578257, 0.238802
0.003, 0.076213, -0.00831968, 0.227199
