r, offset_x, offset_y, offset_z
0.001, -0.0137062, -0.0479111, 0.242941
0.003, 0.00834978, -0.0564804, 0.242734
0.004, 0.0274348, -0.0628201, 0.230263
0.005, 0.0379529, -0.0650713, 0.209186
0.002, 0.0285501, -0.064069, 0.239575
0.004, 0.0474934, -0.0703314, 0.226852
0.005, 0.0577651, -0.0724751, 0.205642
0.005, 0.0563533, -0.0698714, 0.182165
0.006, 0.0633646, -0.0752758, 0.212735
0.007, 0.0733881, -0.0773116, 0.191396
0.007, 0.0716975, -0.074602, 0.16795
0.006, 0.0587886, -0.0679417, 0.14927
0.007, 0.0800647, -0.078096, 0.17065
0.007, 0.0780957, -0.075281, 0.147237
0.006, 0.0649612, -0.0685489, 0.128741
0.003, 0.0445125, -0.0598737, 0.120585
0.001, 0.0529229, -0.0731172, 0.23453
0.002, 0.0721501, -0.0795351, 0.222321
0.008, 0.0829195, -0.0818963, 0.201383
0.008, 0.0820732, -0.0795084, 0.177856
0.002, 0.0883422, -0.0846419, 0.208633
0.009, 0.0988668, -0.0868959, 0.187559
0.009, 0.0977414, -0.0844014, 0.164055
0.008, 0.0852958, -0.0778897, 0.145012
0.011, 0.106034, -0.0878866, 0.166986
0.01, 0.10463, -0.0852857, 0.143508
0.009, 0.0919544, -0.0787001, 0.124643
0.006, 0.0717249, -0.0700607, 0.115921
0.009, 0.100575, -0.0818565, 0.122356
0.009, 0.0876721, -0.075198, 0.103671
0.006, 0.0673327, -0.0665402, 0.0952276
0.004, 0.0455206, -0.0584216, 0.099501
0.001, 0.10729, -0.0904833, 0.191077
0.002, 0.118309, -0.0929541, 0.170282
0.011, 0.117749, -0.0906762, 0.146736
0.01, 0.105775, -0.0843174, 0.127342
0.003, 0.125962, -0.0941503, 0.149896
0.01, 0.125123, -0.0917653, 0.126368
0.011, 0.112916, -0.0853305, 0.107146
0.009, 0.0929186, -0.0767327, 0.0978643
0.012, 0.121581, -0.088525, 0.105094
0.011, 0.109142, -0.0820153, 0.0860464
0.008, 0.0890284, -0.0733962, 0.0770405
0.006, 0.0671386, -0.0651951, 0.0807172
0.009, 0.0954904, -0.0753318, 0.070407
0.007, 0.0752638, -0.066693, 0.0616779
0.006, 0.0534106, -0.0585319, 0.0656494
0.004, 0.0363382, -0.0532416, 0.0811571
0.001, 0.134184, -0.0951506, 0.124741
0.003, 0.133911, -0.0929829, 0.101179
0.011, 0.122179, -0.0867032, 0.0816122
0.01, 0.102427, -0.0781527, 0.0717775
0.002, 0.130884, -0.0899337, 0.0797979
0.004, 0.118916, -0.083577, 0.0603993
0.009, 0.0990419, -0.0750024, 0.0508369
0.007, 0.0770887, -0.0667243, 0.0539146
0.004, 0.105656, -0.0770124, 0.0443776
0.006, 0.085662, -0.0684152, 0.0350891
0.006, 0.0637382, -0.0601744, 0.0384627
0.004, 0.0463129, -0.0547063, 0.0535092
0.006, 0.0662335, -0.0603477, 0.0293385
0.004, 0.0443427, -0.0521456, 0.0330075
