r, offset_x, offset_y, offset_z
0.004, 0.0833684, 0.152277, -0.0036675
0.005, 0.0763014, 0.145623, 0.0437364
0.005, 0.0530812, 0.111049, 0.0683701
0.003, 0.0697818, 0.138965, 0.0821032
0.007, 0.0468397, 0.10493, 0.107728
0.005, 0.0226997, 0.0652017, 0.0942996
0.004, 0.0277714, 0.076481, 0.127373
0.004, 0.00341805, 0.0365219, 0.115063
0.005, -0.00642285, 0.0166865, 0.0720387
0.003, 0.0775546, 0.156093, -0.00215073
0.008, 0.0905915, 0.136244, 0.0400082
0.005, 0.0766496, 0.0955799, 0.0622213
0.002, 0.100295, 0.118936, 0.0741424
0.012, 0.0870771, 0.0785188, 0.0972299
0.007, 0.0556791, 0.0435549, 0.0856956
0.009, 0.0753752, 0.0452351, 0.114953
0.023, 0.0442351, 0.00973069, 0.104414
0.008, 0.0151758, 0.0025097, 0.0664038
0.004, 0.0733438, 0.159184, 0.00268439
0.005, 0.100942, 0.128647, 0.0281236
0.005, 0.0937198, 0.0830501, 0.0426204
0.004, 0.122396, 0.102714, 0.0487654
0.021, 0.116221, 0.0571272, 0.063766
0.008, 0.0795657, 0.0260219, 0.0582678
0.026, 0.109854, 0.0199273, 0.075363
0.017, 0.0737985, -0.0119691, 0.0704678
0.005, 0.0308195, -0.00897289, 0.048441
0.002, 0.126327, 0.110202, 1.36944e-05
0.007, 0.115874, 0.106783, 0.0471345
0.008, 0.0810837, 0.0829193, 0.0708313
0.002, 0.106212, 0.103112, 0.08524
0.007, 0.0718427, 0.0796577, 0.109939
0.007, 0.035543, 0.0510886, 0.0955344
0.002, 0.0432714, 0.0600046, 0.128814
0.002, 0.00665511, 0.031302, 0.115519
0.006, -0.00826943, 0.0160389, 0.0720954
0.001, 0.122214, 0.115851, 0.00137012
0.007, 0.125983, 0.0928988, 0.0438005
0.015, 0.0977564, 0.0600202, 0.0653325
0.001, 0.127798, 0.0734649, 0.0781208
0.012, 0.100307, 0.0405629, 0.100551
0.016, 0.0588733, 0.0190456, 0.0878399
0.008, 0.0769473, 0.0137526, 0.117708
0.017, 0.0355299, -0.008356, 0.105996
0.011, 0.0070099, -0.00494647, 0.0670562
0.001, 0.119236, 0.120269, 0.0060891
0.007, 0.133305, 0.082039, 0.0322014
0.008, 0.109832, 0.0421094, 0.0462024
0.004, 0.143432, 0.050276, 0.0533533
0.021, 0.120924, 0.00998448, 0.0678905
0.008, 0.0757711, -0.00601711, 0.061071
0.015, 0.101338, -0.022424, 0.0790683
0.014, 0.0564436, -0.039375, 0.0728656
0.005, 0.0180765, -0.0213604, 0.0495248
0.003, 0.151298, 0.0555861, 0.00479215
0.007, 0.138846, 0.0563957, 0.051543
0.02, 0.0971075, 0.0466608, 0.0740036
0.003, 0.127325, 0.0566354, 0.0893063
0.007, 0.0860944, 0.0471386, 0.112784
0.013, 0.0424566, 0.0333278, 0.0970883
0.002, 0.0518152, 0.0390892, 0.130644
0.002, 0.0077995, 0.0252732, 0.116047
0.005, -0.0102263, 0.0160935, 0.0720906
0.004, 0.149432, 0.0623385, 0.00605201
0.007, 0.143431, 0.0397984, 0.0484463
0.022, 0.10467, 0.0192873, 0.0688963
0.002, 0.137116, 0.0211953, 0.0826939
0.01, 0.0990056, 0.000404842, 0.104064
0.031, 0.0530389, -0.00497616, 0.0899416
0.003, 0.0670901, -0.0162003, 0.120328
0.008, 0.0208967, -0.0221339, 0.107202
0.008, -0.00329585, -0.00899233, 0.0674102
0.005, 0.148081, 0.0675561, 0.010701
0.006, 0.146752, 0.0269736, 0.0370191
0.007, 0.110147, -0.00186426, 0.0500497
0.004, 0.144208, -0.00618929, 0.0582935
0.008, 0.108357, -0.0357064, 0.0718881
0.009, 0.0607035, -0.0345737, 0.0635694
0.005, 0.0781535, -0.0589226, 0.0822617
0.01, 0.0303828, -0.0587654, 0.0745621
0.005, 0.00172382, -0.0283762, 0.0501386
