r, offset_x, offset_y, offset_z
0.028, 0.0570007, 0.00277382, 0.0969847
0.025, 0.0998007, 0.0405738, 0.0843847
0.024, 0.0906007, -0.00682618, 0.0849847
0.023, 0.0404007, -0.0138262, 0.0805847
0.021, 0.120001, 0.0405738, 0.0675847
0.021, 0.0486007, 0.0279738, 0.109585
0.021, 0.0948007, 0.0657738, 0.0843847
0.02, 0.113801, 0.0195738, 0.0753847
0.02, 0.0818007, 0.0195738, 0.0793847
0.019, 0.0316007, 0.0153738, 0.100985
0.019, 0.0696007, 0.0533738, 0.104785
0.019, 0.119001, 0.0647738, 0.0591847
0.019, 0.0810007, 0.0305738, 0.100985
0.018, 0.0654007, -0.0248262, 0.0909847
0.018, 0.101401, 0.0831738, 0.0657847
