r, offset_x, offset_y, offset_z
0.028, 0.0570007, 0.00277382, 0.0969847
0.025, 0.0998007, 0.0405738, 0.0843847
0.024, 0.0906007, -0.00682618, 0.0849847
0.02, 0.0338007, -0.0204262, 0.0793847
0.019, 0.0696007, 0.0533738, 0.104785
0.018, 0.101401, 0.0831738, 0.0657847
0.018, 0.115801, 0.0147738, 0.0693847
0.017, 0.129201, 0.0443738, 0.0575847
0.017, 0.0986007, 0.108974, 0.0541847
0.017, 0.0680007, 0.0851738, 0.0983847
0.016, 0.0890007, 0.0987738, 0.0785847
0.016, 0.121001, 0.0667738, 0.0561847
0.016, 0.0282007, 0.0411738, 0.110585
0.016, 0.0602007, 0.108374, 0.0913847
0.016, 0.0314007, 0.0763738, 0.110585
