r, offset_x, offset_y, offset_z
0.031, 0.108963, 0.0067328, 0.103346
0.03, 0.098163, 0.0045328, 0.161146
0.027, 0.078963, -0.0020672, 0.0945465
0.025, 0.080163, -0.0064672, 0.190146
0.024, 0.108963, -0.0086672, 0.135946
0.024, 0.080163, -0.0086672, 0.135946
0.023, 0.065963, -0.0016672, 0.0581465
0.019, 0.115963, -0.0196672, 0.0883465
0.017, 0.099563, -0.0240672, 0.0725465
0.017, 0.099563, -0.0240672, 0.106546
0.017, 0.099563, -0.0240672, 0.174546
0.017, 0.099563, 0.0099328, 0.0725465
0.017, 0.113163, 0.0235328, 0.140546
0.015, 0.053163, 0.0015328, 0.218146
0.015, 0.113163, -0.0284672, 0.158146
