r, offset_x, offset_y, offset_z
0.031, 0.102763, -0.0393649, 0.0989633
0.029, 0.099363, -0.0437649, 0.152563
0.025, 0.075163, -0.0475649, 0.0857633
0.025, 0.080163, -0.0525649, 0.190763
0.024, 0.080163, -0.0547649, 0.131563
0.021, 0.107163, -0.0613649, 0.0769633
0.02, 0.124163, -0.0555649, 0.114763
0.017, 0.099563, -0.0701649, 0.102163
0.017, 0.099563, -0.0701649, 0.136163
0.017, 0.099563, -0.0701649, 0.170163
0.017, 0.099563, -0.0361649, 0.0681633
0.017, 0.065563, -0.0633649, 0.210963
0.017, 0.113163, -0.0701649, 0.146363
0.017, 0.113163, -0.0225649, 0.136163
0.016, 0.059363, -0.0403649, 0.0659633
