a, b, c, offset_x, offset_y, offset_z
0.025, 0.025, 0.025, -0.0345591, 0.0780776, 0.231793
0.025, 0.025, 0.025, -0.0119551, 0.0672973, 0.240317
0.025, 0.025, 0.025, 0.0103919, 0.0552516, 0.232879
0.025, 0.025, 0.025, 0.0242929, 0.0463547, 0.212205
0.025, 0.025, 0.025, 0.00964285, 0.0564828, 0.242586
0.025, 0.025, 0.025, 0.0318925, 0.0444588, 0.234828
0.025, 0.025, 0.025, 0.045551, 0.0356674, 0.213948
0.025, 0.025, 0.025, 0.045613, 0.0333304, 0.187598
0.025, 0.025, 0.025, 0.0500637, 0.0341165, 0.222523
0.025, 0.025, 0.025, 0.0634775, 0.0254322, 0.20144
0.025, 0.025, 0.025, 0.0632408, 0.0232465, 0.175078
0.025, 0.025, 0.025, 0.0494403, 0.0283604, 0.153096
0.025, 0.025, 0.025, 0.0712951, 0.0195048, 0.179252
0.025, 0.025, 0.025, 0.0707596, 0.0174707, 0.152882
0.025, 0.025, 0.025, 0.056718, 0.0227238, 0.131086
0.025, 0.025, 0.025, 0.0343157, 0.0333391, 0.121852
0.025, 0.025, 0.025, 0.0361807, 0.0427838, 0.240676
0.025, 0.025, 0.025, 0.0586239, 0.0307179, 0.233567
0.025, 0.025, 0.025, 0.0727713, 0.021714, 0.213108
0.025, 0.025, 0.025, 0.0734386, 0.0190716, 0.186794
0.025, 0.025, 0.025, 0.0770902, 0.0202723, 0.2218
0.025, 0.025, 0.025, 0.0909974, 0.0113726, 0.201132
0.025, 0.025, 0.025, 0.091366, 0.00888071, 0.174798
0.025, 0.025, 0.025, 0.0780609, 0.0137098, 0.152449
0.025, 0.025, 0.025, 0.09933, 0.00520475, 0.179198
0.025, 0.025, 0.025, 0.0993998, 0.00286379, 0.152848
0.025, 0.025, 0.025, 0.0858491, 0.00783384, 0.130678
0.025, 0.025, 0.025, 0.0636435, 0.0182936, 0.120813
0.025, 0.025, 0.025, 0.0944223, 0.00332492, 0.129108
0.025, 0.025, 0.025, 0.0806281, 0.00843508, 0.107121
0.025, 0.025, 0.025, 0.0583237, 0.0189725, 0.0975666
0.025, 0.025, 0.025, 0.0356823, 0.0310756, 0.103946
0.025, 0.025, 0.025, 0.0973992, 0.00830364, 0.203365
0.025, 0.025, 0.025, 0.111791, -0.000805639, 0.183123
0.025, 0.025, 0.025, 0.112764, -0.00360202, 0.156836
0.025, 0.025, 0.025, 0.0999635, 0.000939239, 0.134135
0.025, 0.025, 0.025, 0.120633, -0.00720974, 0.161458
0.025, 0.025, 0.025, 0.121308, -0.00985606, 0.135146
0.025, 0.025, 0.025, 0.108257, -0.00517235, 0.112617
0.025, 0.025, 0.025, 0.0862628, 0.00512505, 0.102127
0.025, 0.025, 0.025, 0.116872, -0.00968094, 0.111295
0.025, 0.025, 0.025, 0.103574, -0.00485552, 0.0889415
0.025, 0.025, 0.025, 0.0814732, 0.00552287, 0.0787595
0.025, 0.025, 0.025, 0.0586698, 0.017651, 0.08448
0.025, 0.025, 0.025, 0.087551, 0.00183208, 0.0719968
0.025, 0.025, 0.025, 0.0653481, 0.0122898, 0.0621237
0.025, 0.025, 0.025, 0.0426228, 0.0244066, 0.0681699
0.025, 0.025, 0.025, 0.0277029, 0.0337423, 0.0879197
0.025, 0.025, 0.025, 0.127572, -0.0132399, 0.132979
0.025, 0.025, 0.025, 0.128852, -0.0161899, 0.106722
0.025, 0.025, 0.025, 0.11631, -0.0117956, 0.0838483
0.025, 0.025, 0.025, 0.0945416, -0.00166735, 0.0727414
0.025, 0.025, 0.025, 0.124962, -0.0163009, 0.0827755
0.025, 0.025, 0.025, 0.112167, -0.0117634, 0.0600703
0.025, 0.025, 0.025, 0.0902854, -0.00155081, 0.0492672
0.025, 0.025, 0.025, 0.067335, 0.0105944, 0.0543251
0.025, 0.025, 0.025, 0.0965227, -0.00530687, 0.0426882
0.025, 0.025, 0.025, 0.0745313, 0.00498837, 0.0321907
0.025, 0.025, 0.025, 0.0516515, 0.0171261, 0.0375761
0.025, 0.025, 0.025, 0.0362678, 0.0266585, 0.0568708
0.025, 0.025, 0.025, 0.0530971, 0.0155511, 0.0279988
0.025, 0.025, 0.025, 0.0302917, 0.0276796, 0.0337108
0.025, 0.025, 0.025, 0.0151356, 0.0371156, 0.0532317
0.025, 0.025, 0.025, 0.0131829, 0.0404015, 0.079408
0.025, 0.025, 0.025, -0.0392692, 0.063596, 0.23306
0.025, 0.025, 0.025, -0.0142266, 0.0603134, 0.240928
0.025, 0.025, 0.025, 0.0105313, 0.0556801, 0.232842
0.025, 0.025, 0.025, 0.0259319, 0.0513941, 0.211764
0.025, 0.025, 0.025, 0.00970141, 0.0566629, 0.24257
0.025, 0.025, 0.025, 0.0343515, 0.052019, 0.234167
0.025, 0.025, 0.025, 0.0494835, 0.0477581, 0.21289
0.025, 0.025, 0.025, 0.0495522, 0.0454417, 0.186538
0.025, 0.025, 0.025, 0.054483, 0.0477041, 0.221334
