r, offset_x, offset_y, offset_z
0.001, -0.0345591, 0.0780776, 0.231793
0.002, -0.0179291, 0.070286, 0.239659
0.004, -0.000197141, 0.061148, 0.238559
0.002, 0.0149308, 0.0525735, 0.228722
0.001, 0.0242929, 0.0463547, 0.212205
0.002, -0.00173838, 0.0623071, 0.242825
0.001, 0.0159768, 0.0531612, 0.241536
0.001, 0.0310147, 0.0446183, 0.231535
0.001, 0.0402324, 0.0384638, 0.214913
0.002, 0.0417033, 0.0359842, 0.195143
0.001, 0.0314004, 0.0448293, 0.236196
0.002, 0.046347, 0.0363187, 0.226032
0.002, 0.0554195, 0.0302293, 0.209306
0.001, 0.0567216, 0.0278337, 0.189515
0.005, 0.0499814, 0.0296328, 0.170794
0.003, 0.0576483, 0.0294464, 0.213348
0.001, 0.0665747, 0.0234225, 0.19652
0.001, 0.0677081, 0.0211113, 0.176708
0.003, 0.0608114, 0.0229958, 0.158053
0.002, 0.0473263, 0.0286822, 0.144453
0.001, 0.0712951, 0.0195048, 0.179252
0.002, 0.0722595, 0.0172781, 0.159422
0.001, 0.0652072, 0.0192478, 0.140833
0.002, 0.0516121, 0.0250024, 0.127372
0.001, 0.0343157, 0.0333391, 0.121852
0.001, 0.0184058, 0.0520467, 0.242954
0.001, 0.0361534, 0.0429177, 0.242047
0.003, 0.0513723, 0.0343117, 0.23238
0.002, 0.0608817, 0.0280272, 0.215972
0.001, 0.062694, 0.025378, 0.196253
0.001, 0.051678, 0.0345639, 0.237045
0.002, 0.0668083, 0.0259886, 0.227212
0.002, 0.0761741, 0.0197681, 0.210698
0.001, 0.077818, 0.0172024, 0.190953
0.002, 0.0713963, 0.0188279, 0.172105
0.002, 0.0783346, 0.0190239, 0.214784
0.001, 0.0875561, 0.0128678, 0.198165
0.001, 0.0890314, 0.010386, 0.178396
0.001, 0.0824521, 0.0120972, 0.15961
0.002, 0.0691935, 0.0176438, 0.145733
0.002, 0.0925766, 0.0088073, 0.181015
0.002, 0.0938832, 0.00640957, 0.161224
0.003, 0.087147, 0.0082064, 0.142501
0.003, 0.073776, 0.0138222, 0.12876
0.002, 0.0565647, 0.0220834, 0.122873
0.001, 0.0913058, 0.00613664, 0.143082
0.002, 0.0844133, 0.00801891, 0.124425
0.002, 0.0709311, 0.0137035, 0.110822
0.001, 0.053677, 0.0220023, 0.105115
0.001, 0.0362573, 0.0311807, 0.108499
0.002, 0.0695057, 0.0246232, 0.227327
0.001, 0.0848141, 0.0159864, 0.21783
0.001, 0.0944699, 0.00963703, 0.201533
0.003, 0.0964549, 0.00690217, 0.181842
0.001, 0.0903542, 0.00835342, 0.162874
0.001, 0.0965612, 0.00893187, 0.205662
0.001, 0.106074, 0.00264579, 0.189257
0.003, 0.107891, -5.68969e-06, 0.169539
0.003, 0.101632, 0.00153161, 0.150628
0.002, 0.0886044, 0.00693637, 0.136479
0.003, 0.111393, -0.00155594, 0.172231
0.002, 0.113042, -0.0041238, 0.152487
0.001, 0.106624, -0.0025006, 0.133637
0.001, 0.0934819, 0.00297442, 0.119621
0.003, 0.0763621, 0.0111569, 0.113368
0.001, 0.110775, -0.00455868, 0.134307
0.003, 0.1042, -0.00284972, 0.115519
0.001, 0.0909444, 0.00269506, 0.101638
0.001, 0.0737787, 0.0109167, 0.0955657
0.002, 0.0562906, 0.020097, 0.0985704
0.001, 0.0948415, 0.00057685, 0.100141
0.002, 0.0814734, 0.00619088, 0.0863962
0.001, 0.0642633, 0.014451, 0.080504
0.001, 0.0468081, 0.0236308, 0.0836956
0.003, 0.0327562, 0.0318116, 0.0953039
0.002, 0.1085, 0.00130309, 0.188045
0.002, 0.118301, -0.00511061, 0.17186
0.001, 0.120458, -0.00793077, 0.1522
0.001, 0.114521, -0.00656797, 0.133173
0.001, 0.10173, -0.00130705, 0.118756
0.002, 0.123916, -0.00945202, 0.154965
0.001, 0.125905, -0.0121891, 0.135275
0.002, 0.119809, -0.0107401, 0.116305
0.002, 0.106901, -0.00540793, 0.102019
0.002, 0.0898788, 0.00269296, 0.0954037
0.001, 0.123951, -0.0127857, 0.117064
0.004, 0.117696, -0.0112507, 0.0981523
0.001, 0.104672, -0.0058478, 0.083999
0.001, 0.0876005, 0.00229375, 0.0775623
0.001, 0.0700506, 0.0114723, 0.0801874
0.001, 0.108597, -0.00797284, 0.0825868
0.002, 0.0954577, -0.00249966, 0.0685672
0.004, 0.0783391, 0.00568181, 0.0623098
0.003, 0.0608189, 0.0148616, 0.0651224
0.003, 0.0465589, 0.0231211, 0.0764171
0.001, 0.0811935, 0.00393967, 0.0590335
0.001, 0.064029, 0.0121603, 0.052956
0.002, 0.0465401, 0.0213405, 0.0559558
0.003, 0.0323821, 0.0295616, 0.0674058
0.001, 0.0245141, 0.0351052, 0.0849129
0.001, 0.127572, -0.0132399, 0.132979
0.002, 0.129902, -0.0161452, 0.113351
0.001, 0.124129, -0.0148709, 0.0942676
