r, offset_x, offset_y, offset_z
0.001, -0.0345591, 0.0221775, 0.236508
0.001, -0.0119551, 0.0106953, 0.24406
0.001, 0.0103919, -0.000656256, 0.235601
0.001, 0.0242928, -0.00771749, 0.21423
0.003, 0.00964282, -0.000275735, 0.245378
0.001, 0.0318925, -0.0115779, 0.236602
0.001, 0.045551, -0.018516, 0.215035
0.001, 0.045613, -0.0185475, 0.188581
0.001, 0.0500637, -0.0208083, 0.223442
0.001, 0.0634775, -0.0276221, 0.201683
0.001, 0.0632408, -0.0275018, 0.17523
0.001, 0.0494403, -0.0204916, 0.153778
0.001, 0.071295, -0.0315932, 0.179062
0.001, 0.0707596, -0.0313212, 0.152615
0.001, 0.0567179, -0.0241885, 0.13136
0.001, 0.0343157, -0.0128088, 0.123087
0.001, 0.0361807, -0.0137561, 0.242281
0.001, 0.0586238, -0.0251566, 0.234148
0.001, 0.0727713, -0.032343, 0.212982
0.001, 0.0734386, -0.032682, 0.186538
0.001, 0.0770901, -0.0345369, 0.221516
0.001, 0.0909974, -0.0416014, 0.20015
0.001, 0.091366, -0.0417886, 0.173699
0.001, 0.0780609, -0.03503, 0.151856
0.001, 0.0993299, -0.045834, 0.177762
0.001, 0.0993998, -0.0458695, 0.151308
0.001, 0.0858491, -0.0389862, 0.129656
0.001, 0.0636435, -0.0277064, 0.12074
0.001, 0.0944223, -0.0433411, 0.127699
0.001, 0.0806282, -0.0363341, 0.106241
0.001, 0.0583237, -0.0250041, 0.0976413
0.001, 0.0356823, -0.013503, 0.105051
0.001, 0.0973991, -0.0448532, 0.202107
0.001, 0.111791, -0.0521637, 0.181149
0.001, 0.112764, -0.0526583, 0.154717
0.001, 0.0999635, -0.0461558, 0.132499
0.001, 0.120633, -0.0566552, 0.159008
0.001, 0.121308, -0.0569982, 0.132565
0.001, 0.108257, -0.0503687, 0.11053
0.001, 0.0862628, -0.0391963, 0.100978
0.001, 0.116872, -0.054745, 0.10882
0.001, 0.103574, -0.0479897, 0.0869722
0.001, 0.0814732, -0.0367634, 0.0777335
0.001, 0.0586698, -0.0251799, 0.0844893
0.001, 0.087551, -0.0398507, 0.0706748
0.001, 0.0653481, -0.0285723, 0.0617508
0.001, 0.0426228, -0.0170285, 0.06883
0.001, 0.0277029, -0.00944971, 0.0893183
0.001, 0.127572, -0.0601804, 0.130112
0.001, 0.128852, -0.0608305, 0.103697
0.001, 0.11631, -0.0544594, 0.0812936
0.001, 0.0945416, -0.0434017, 0.0711116
0.001, 0.124962, -0.0588541, 0.0798322
0.001, 0.112167, -0.052355, 0.0576088
0.001, 0.0902855, -0.0412397, 0.0477369
0.001, 0.067335, -0.0295816, 0.0538341
