a, b, c, offset_x, offset_y, offset_z
0.01, 0.01, 0.01, -0.0345591, -0.0338914, 0.235659
0.01, 0.01, 0.01, -0.0119551, -0.045988, 0.242181
0.01, 0.01, 0.01, 0.0103919, -0.0565591, 0.232765
0.01, 0.01, 0.01, 0.0242928, -0.0617309, 0.21086
0.01, 0.01, 0.01, 0.00964279, -0.0570322, 0.242538
0.01, 0.01, 0.01, 0.0318925, -0.0675264, 0.23281
0.01, 0.01, 0.01, 0.0455509, -0.0725584, 0.21072
0.01, 0.01, 0.01, 0.045613, -0.0702842, 0.184365
0.01, 0.01, 0.01, 0.0500637, -0.0755747, 0.218896
0.01, 0.01, 0.01, 0.0634775, -0.0804662, 0.196626
0.01, 0.01, 0.01, 0.0632408, -0.0780409, 0.170284
0.01, 0.01, 0.01, 0.0494402, -0.0691876, 0.149524
0.01, 0.01, 0.01, 0.071295, -0.0824507, 0.173745
0.01, 0.01, 0.01, 0.0707596, -0.0798747, 0.147422
0.01, 0.01, 0.01, 0.0567179, -0.0709166, 0.12687
0.01, 0.01, 0.01, 0.0343157, -0.0588592, 0.11962
0.01, 0.01, 0.01, 0.0361806, -0.0701914, 0.238278
0.01, 0.01, 0.01, 0.0586238, -0.0808396, 0.229182
0.01, 0.01, 0.01, 0.0727712, -0.0861539, 0.20747
0.01, 0.01, 0.01, 0.0734385, -0.0841869, 0.181098
0.01, 0.01, 0.01, 0.0770901, -0.0890832, 0.21578
0.01, 0.01, 0.01, 0.0909974, -0.0942587, 0.19388
0.01, 0.01, 0.01, 0.091366, -0.0921399, 0.167514
0.01, 0.01, 0.01, 0.0780609, -0.0835033, 0.146343
0.01, 0.01, 0.01, 0.0993299, -0.096524, 0.171208
0.01, 0.01, 0.01, 0.0993998, -0.0942538, 0.144852
0.01, 0.01, 0.01, 0.0858491, -0.0855095, 0.123882
0.01, 0.01, 0.01, 0.0636435, -0.0734956, 0.115984
0.01, 0.01, 0.01, 0.0944223, -0.0896773, 0.121553
0.01, 0.01, 0.01, 0.0806282, -0.0808268, 0.100788
0.01, 0.01, 0.01, 0.0583237, -0.0687904, 0.0932082
0.01, 0.01, 0.01, 0.0356824, -0.0579789, 0.101592
0.01, 0.01, 0.01, 0.0973991, -0.0976688, 0.195547
0.01, 0.01, 0.01, 0.111791, -0.103125, 0.174031
0.01, 0.01, 0.01, 0.112764, -0.101314, 0.147657
0.01, 0.01, 0.01, 0.0999635, -0.0928997, 0.12609
0.01, 0.01, 0.01, 0.120633, -0.105669, 0.151583
0.01, 0.01, 0.01, 0.121308, -0.103706, 0.12521
0.01, 0.01, 0.01, 0.108257, -0.0951818, 0.103837
0.01, 0.01, 0.01, 0.0862628, -0.0832194, 0.0952952
0.01, 0.01, 0.01, 0.116872, -0.0993924, 0.101752
0.01, 0.01, 0.01, 0.103574, -0.0907586, 0.0805764
0.01, 0.01, 0.01, 0.0814732, -0.0787698, 0.0723512
0.01, 0.01, 0.01, 0.0586698, -0.0678193, 0.0800909
0.01, 0.01, 0.01, 0.087551, -0.0812302, 0.0650504
0.01, 0.01, 0.01, 0.0653481, -0.0692169, 0.0571433
