a, b, c, offset_x, offset_y, offset_z
0.01, 0.01, 0.01, 0.0703534, 0.154736, -0.0203375
0.01, 0.01, 0.01, 0.0675385, 0.160831, 0.0156162
0.01, 0.01, 0.01, 0.0556059, 0.14676, 0.0471972
0.01, 0.01, 0.01, 0.039095, 0.117877, 0.0623916
0.01, 0.01, 0.01, 0.0632517, 0.161823, 0.0452731
0.01, 0.01, 0.01, 0.0515073, 0.148231, 0.0771331
0.01, 0.01, 0.01, 0.0350377, 0.119606, 0.0928512
0.01, 0.01, 0.01, 0.0201081, 0.0868363, 0.0864479
0.01, 0.01, 0.01, 0.0405416, 0.133554, 0.100865
0.01, 0.01, 0.01, 0.0241175, 0.105193, 0.117103
0.01, 0.01, 0.01, 0.00907041, 0.0723709, 0.111271
0.01, 0.01, 0.01, 0.00112446, 0.0475731, 0.0855867
0.01, 0.01, 0.01, 0.010441, 0.0801564, 0.126323
0.01, 0.01, 0.01, -0.00471981, 0.0472898, 0.121063
0.01, 0.01, 0.01, -0.0128996, 0.0221476, 0.0957904
0.01, 0.01, 0.01, -0.0109867, 0.0142945, 0.0601196
0.01, 0.01, 0.01, 0.059139, 0.16043, -0.0194926
0.01, 0.01, 0.01, 0.0699657, 0.159599, 0.0154334
0.01, 0.01, 0.01, 0.0693802, 0.139767, 0.0461595
0.01, 0.01, 0.01, 0.0576053, 0.108479, 0.0609971
0.01, 0.01, 0.01, 0.0767993, 0.154945, 0.0442525
0.01, 0.01, 0.01, 0.0765221, 0.135532, 0.0752487
0.031, 0.014, 0.01, 0.0649927, 0.104398, 0.0905946
0.01, 0.01, 0.01, 0.0465971, 0.0733881, 0.0844524
0.01, 0.01, 0.01, 0.0739492, 0.116593, 0.0983486
0.01, 0.01, 0.01, 0.0626683, 0.0856214, 0.114199
0.043, 0.035, 0.01, 0.0443669, 0.0544513, 0.108612
0.01, 0.01, 0.01, 0.0260072, 0.0349404, 0.0837122
0.01, 0.01, 0.01, 0.0516199, 0.0592504, 0.123221
0.022, 0.019, 0.01, 0.0334174, 0.027928, 0.11819
0.025, 0.02, 0.01, 0.0149663, 0.00800041, 0.0936911
0.01, 0.01, 0.01, 0.00328593, 0.00704847, 0.0590444
0.01, 0.01, 0.01, 0.0494024, 0.165826, -0.013579
0.01, 0.01, 0.01, 0.072073, 0.158431, 0.0141535
0.01, 0.01, 0.01, 0.0813393, 0.133139, 0.038896
0.01, 0.01, 0.01, 0.0736762, 0.0995721, 0.0512362
0.01, 0.01, 0.01, 0.0885616, 0.148426, 0.0371085
0.01, 0.01, 0.01, 0.0982403, 0.123495, 0.0620577
0.029, 0.01, 0.01, 0.0910001, 0.0899837, 0.0747985
0.01, 0.01, 0.01, 0.0695954, 0.0606416, 0.070484
0.01, 0.01, 0.01, 0.102954, 0.100517, 0.0807319
0.019, 0.017, 0.01, 0.0961387, 0.0670709, 0.0938701
0.039, 0.021, 0.01, 0.0750119, 0.0374667, 0.0899988
0.01, 0.01, 0.01, 0.0476108, 0.0229669, 0.0705909
0.029, 0.026, 0.01, 0.087372, 0.0394352, 0.101506
0.066, 0.01, 0.01, 0.0665286, 0.00957647, 0.0980791
0.058, 0.01, 0.01, 0.03916, -0.00540861, 0.0789967
0.01, 0.01, 0.01, 0.0156776, 0.000180534, 0.0515181
0.01, 0.01, 0.01, 0.0428574, 0.169976, -0.00363725
0.01, 0.01, 0.01, 0.0734895, 0.157533, 0.0120018
0.01, 0.01, 0.01, 0.0893782, 0.128042, 0.026685
0.01, 0.01, 0.01, 0.0844793, 0.092723, 0.0348266
0.01, 0.01, 0.01, 0.0964683, 0.143414, 0.0250984
0.01, 0.01, 0.01, 0.112839, 0.114239, 0.0398819
0.025, 0.01, 0.014, 0.108483, 0.0788999, 0.0482432
0.01, 0.01, 0.01, 0.085055, 0.0508403, 0.0470013
0.011, 0.011, 0.011, 0.122452, 0.0881562, 0.0511158
0.026, 0.031, 0.011, 0.118638, 0.0528066, 0.0596945
0.028, 0.01, 0.01, 0.0956118, 0.0244065, 0.0587082
0.01, 0.01, 0.01, 0.0621329, 0.0137599, 0.0485322
0.036, 0.014, 0.01, 0.111405, 0.0241984, 0.0650006
0.061, 0.013, 0.01, 0.0887864, -0.00453481, 0.0642702
0.01, 0.01, 0.01, 0.0554232, -0.0157194, 0.0542933
0.01, 0.01, 0.01, 0.0240074, -0.00510052, 0.0388653
0.01, 0.01, 0.01, 0.109665, 0.123781, -0.0176291
0.01, 0.01, 0.01, 0.107884, 0.130593, 0.0182617
0.012, 0.019, 0.01, 0.0913918, 0.120961, 0.0494544
0.01, 0.01, 0.01, 0.0664627, 0.0985496, 0.0640825
0.01, 0.01, 0.01, 0.103314, 0.132969, 0.0477976
0.01, 0.01, 0.01, 0.0871399, 0.123737, 0.0792762
0.032, 0.01, 0.01, 0.0623147, 0.10156, 0.09443
0.01, 0.01, 0.01, 0.0382825, 0.0748752, 0.0874944
0.01, 0.01, 0.01, 0.0715929, 0.113199, 0.102646
0.01, 0.01, 0.01, 0.046878, 0.0912636, 0.118322
0.02, 0.01, 0.01, 0.0227025, 0.0645667, 0.111953
0.01, 0.01, 0.01, 0.00826324, 0.0432647, 0.0859637
0.01, 0.01, 0.01, 0.0259792, 0.0716264, 0.127069
0.01, 0.01, 0.01, 0.00166677, 0.0449243, 0.12127
0.01, 0.01, 0.01, -0.0131111, 0.0233674, 0.0956836
0.01, 0.01, 0.01, -0.0127325, 0.0151564, 0.0600442
0.01, 0.01, 0.01, 0.100701, 0.132625, -0.01706
0.01, 0.01, 0.01, 0.109824, 0.128679, 0.0181386
0.018, 0.011, 0.01, 0.102401, 0.110098, 0.0487553
0.01, 0.01, 0.01, 0.0812574, 0.0839509, 0.0631431
0.01, 0.01, 0.01, 0.114142, 0.122284, 0.0471101
0.01, 0.01, 0.01, 0.107133, 0.104008, 0.0780067
0.025, 0.013, 0.01, 0.0862569, 0.0779352, 0.0929099
0.01, 0.01, 0.01, 0.0594544, 0.0539838, 0.0861501
0.01, 0.01, 0.01, 0.0982945, 0.0868517, 0.100951
0.01, 0.01, 0.01, 0.0776905, 0.0608595, 0.116365
0.057, 0.015, 0.01, 0.050914, 0.0367291, 0.110162
0.01, 0.01, 0.01, 0.0281513, 0.0236402, 0.0847009
0.01, 0.01, 0.01, 0.0588923, 0.0391495, 0.124979
0.01, 0.01, 0.01, 0.0321487, 0.0148463, 0.119334
0.019, 0.012, 0.016, 0.00916137, 0.00139013, 0.0942695
0.01, 0.01, 0.01, -0.00132484, 0.00389993, 0.0593199
0.01, 0.01, 0.01, 0.0929191, 0.140758, -0.0113857
0.01, 0.01, 0.01, 0.111508, 0.126919, 0.0169105
0.018, 0.013, 0.011, 0.11196, 0.100109, 0.0417858
0.01, 0.01, 0.01, 0.0941024, 0.070528, 0.0537773
0.01, 0.01, 0.01, 0.123544, 0.11246, 0.0402553
0.01, 0.01, 0.01, 0.124492, 0.0858685, 0.0653497
0.027, 0.025, 0.01, 0.107044, 0.0562131, 0.0777532
0.01, 0.01, 0.01, 0.0778362, 0.0347751, 0.0727471
0.01, 0.01, 0.01, 0.121477, 0.062626, 0.0840471
0.02, 0.014, 0.01, 0.104442, 0.0329041, 0.0968593
0.055, 0.011, 0.018, 0.0754076, 0.0111336, 0.0923028
0.029, 0.01, 0.01, 0.0454184, 0.00559633, 0.0721107
0.025, 0.024, 0.01, 0.0874679, 0.00928832, 0.104144
0.058, 0.011, 0.01, 0.0586135, -0.0128091, 0.100038
0.039, 0.023, 0.01, 0.0284986, -0.0188171, 0.0801698
0.01, 0.01, 0.01, 0.00857947, -0.00644995, 0.0520982
0.01, 0.01, 0.01, 0.0876878, 0.146746, -0.00160488
0.01, 0.01, 0.01, 0.11264, 0.125623, 0.0147936
0.01, 0.01, 0.01, 0.118385, 0.0927538, 0.0297724
0.01, 0.01, 0.01, 0.102737, 0.0606434, 0.0376333
0.01, 0.01, 0.01, 0.129863, 0.105225, 0.0284395
0.01, 0.01, 0.01, 0.136161, 0.0725104, 0.0435328
0.03, 0.013, 0.01, 0.121017, 0.0402169, 0.0516276
0.01, 0.01, 0.01, 0.0901926, 0.0206298, 0.0496444
0.011, 0.013, 0.01, 0.137061, 0.0447861, 0.0549103
0.028, 0.016, 0.01, 0.122425, 0.0123177, 0.0632369
0.018, 0.01, 0.01, 0.0918724, -0.00771498, 0.0615185
0.01, 0.01, 0.01, 0.0570255, -0.00769121, 0.050409
0.035, 0.011, 0.01, 0.106677, -0.0127015, 0.0682291
0.056, 0.016, 0.01, 0.0764035, -0.0331746, 0.0667759
0.01, 0.01, 0.01, 0.0414973, -0.0336977, 0.0558662
0.01, 0.01, 0.01, 0.0152372, -0.0140716, 0.0396502
0.01, 0.01, 0.01, 0.137581, 0.0823264, -0.0140022
0.01, 0.01, 0.01, 0.137005, 0.0895068, 0.0218564
0.017, 0.011, 0.013, 0.117536, 0.085491, 0.0525577
0.01, 0.011, 0.01, 0.0865806, 0.0718067, 0.0664223
0.01, 0.01, 0.01, 0.132591, 0.0932854, 0.0512696
0.01, 0.01, 0.01, 0.113539, 0.0895546, 0.0822668
0.025, 0.016, 0.01, 0.0827399, 0.0760647, 0.0966607
0.01, 0.01, 0.01, 0.0519108, 0.0579475, 0.0889754
0.01, 0.01, 0.01, 0.0949021, 0.0843559, 0.10517
0.01, 0.01, 0.01, 0.0642677, 0.0710638, 0.120089
0.034, 0.028, 0.01, 0.0332834, 0.0529812, 0.112967
0.01, 0.01, 0.01, 0.0137361, 0.0369868, 0.0865129
0.01, 0.01, 0.01, 0.0381519, 0.0587689, 0.128194
0.01, 0.01, 0.01, 0.00702035, 0.0407254, 0.121637
0.01, 0.01, 0.01, -0.0129377, 0.0245931, 0.0955764
0.01, 0.01, 0.01, -0.0141298, 0.0165092, 0.0599258
0.01, 0.01, 0.01, 0.131729, 0.0934848, -0.0136355
0.01, 0.01, 0.01, 0.138272, 0.0870918, 0.0217771
0.016, 0.016, 0.012, 0.124724, 0.0717856, 0.0521073
0.02, 0.011, 0.01, 0.0962403, 0.053389, 0.065817
0.01, 0.01, 0.01, 0.139661, 0.0798056, 0.0508266
0.01, 0.01, 0.01, 0.126593, 0.064665, 0.0814489
0.025, 0.014, 0.01, 0.0983721, 0.0462596, 0.0956812
0.031, 0.01, 0.01, 0.0657342, 0.031591, 0.0881093
0.01, 0.01, 0.01, 0.112336, 0.0511154, 0.104077
0.01, 0.01, 0.01, 0.0843856, 0.0327059, 0.118829
0.055, 0.013, 0.01, 0.051703, 0.0178612, 0.111813
0.041, 0.014, 0.01, 0.0267213, 0.0122286, 0.0856993
0.01, 0.01, 0.01, 0.0596413, 0.017796, 0.126848
0.01, 0.01, 0.01, 0.0269224, 0.00277896, 0.12039
0.01, 0.01, 0.01, 0.00160432, -0.00313341, 0.0946652
0.01, 0.01, 0.01, -0.00668159, 0.00230801, 0.0594591
0.01, 0.01, 0.01, 0.126648, 0.103626, -0.00813698
0.01, 0.01, 0.01, 0.139371, 0.084897, 0.020587
0.017, 0.012, 0.011, 0.130965, 0.0593297, 0.0453537
0.031, 0.01, 0.01, 0.104627, 0.0366503, 0.0567413
0.01, 0.01, 0.01, 0.145799, 0.0675546, 0.0441841
0.01, 0.01, 0.01, 0.137927, 0.0420445, 0.0691839
0.027, 0.01, 0.012, 0.111944, 0.0191716, 0.080994
0.069, 0.01, 0.01, 0.077736, 0.00763727, 0.0751215
0.01, 0.01, 0.01, 0.127472, 0.0209054, 0.0876972
0.01, 0.01, 0.01, 0.101852, -0.00215503, 0.0999267
