# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 1
HEIGHT 12136
VIEWPOINT 0 0 0 1 0 0 0
POINTS 12136
DATA ascii
0.053887203 -0.14318132 0.39903596
0.055139005 -0.14318031 0.39869151
0.0501495 -0.14188796 0.40013739
0.051401287 -0.14188695 0.39979294
0.052653089 -0.14188594 0.39944851
0.05437535 -0.14224154 0.39999321
0.055156678 -0.14188388 0.39875963
0.056883961 -0.1422395 0.39930293
0.049375832 -0.14094664 0.40144196
0.050630152 -0.14094561 0.40109685
0.051884443 -0.14094459 0.40075171
0.053138763 -0.14094357 0.40040657
0.054393053 -0.14094254 0.40006143
0.055647373 -0.14094153 0.39971629
0.056901664 -0.1409405 0.39937118
0.04939355 -0.13964762 0.40151021
0.050647855 -0.13964659 0.40116507
0.051902175 -0.13964556 0.40081996
0.053624481 -0.13999596 0.40136492
0.054881305 -0.13999495 0.4010191
0.056138128 -0.13999392 0.4006733
0.056919396 -0.13964148 0.39943942
0.058173701 -0.13964045 0.39909428
0.059908584 -0.13999085 0.39963582
0.060682327 -0.13963841 0.398404
0.047358125 -0.13869949 0.40316245
0.048614949 -0.13869847 0.40281662
0.049871773 -0.13869745 0.4024708
0.051128596 -0.13869642 0.40212497
0.052850962 -0.13904424 0.40267015
0.054110304 -0.13904321 0.40232363
0.05536963 -0.13904218 0.40197712
0.056628972 -0.13904116 0.40163058
0.057888299 -0.13904013 0.40128407
0.059147626 -0.1390391 0.40093756
0.059926331 -0.13868925 0.39970419
0.061183155 -0.13868822 0.39935836
0.062439978 -0.13868719 0.39901254
0.049090743 -0.1377431 0.40377823
0.05035007 -0.13774207 0.40343168
0.051609427 -0.13774104 0.40308517
0.052868754 -0.13774002 0.40273866
0.054596171 -0.13808522 0.40328249
0.055858016 -0.13808419 0.4029353
0.057119876 -0.13808316 0.4025881
0.058381721 -0.13808213 0.40224087
0.059165418 -0.13773488 0.40100607
0.06042476 -0.13773386 0.40065956
0.061684102 -0.13773283 0.40031305
0.062943429 -0.13773181 0.39996651
0.064202756 -0.13773078 0.39962
0.049108535 -0.13643889 0.40384671
0.050828457 -0.13678148 0.40439278
0.052090302 -0.13678046 0.40404558
0.053817749 -0.13712305 0.40458959
0.055082113 -0.13712201 0.40424168
0.056346476 -0.13712098 0.4038938
0.05761084 -0.13711995 0.40354589
0.058875203 -0.13711892 0.40319797
0.059661388 -0.13677429 0.40196231
0.060923249 -0.13677326 0.40161511
0.062185079 -0.13677223 0.40126792
0.062961221 -0.1364276 0.40003505
0.064220548 -0.13642657 0.39968851
0.048322588 -0.13547671 0.40515587
0.049584419 -0.13547568 0.40480864
0.051306874 -0.13581568 0.40535417
0.053034365 -0.13615565 0.40589833
0.054301232 -0.13615461 0.40554973
0.055568114 -0.13615358 0.40520114
0.056834996 -0.13615255 0.40485254
0.058101863 -0.13615151 0.40450397
0.05936873 -0.13615048 0.40415537
0.060635626 -0.13614945 0.40380678
0.061421782 -0.13580744 0.40257099
0.062686145 -0.1358064 0.40222308
0.063464761 -0.13546436 0.40098935
0.06423834 -0.13512233 0.39975703
0.065497667 -0.1351213 0.39941052
0.04707855 -0.13417092 0.40557173
0.048796013 -0.13450831 0.40611878
0.050518498 -0.13484569 0.40666443
0.05178538 -0.13484466 0.40631583
0.053515404 -0.13518207 0.40685943
0.054784805 -0.13518102 0.40651014
0.056522414 -0.13551842 0.40705171
